"","eta","lambda_obs","sigma0","rho","mu","nuC","pH","pU","pV","deltaC","deltaH","deltaU","deltaV","thetaH","epsilonC","epsilonH","LMH","LMU","LMV","LNH","LNU","LNV","ky","kc","cs","cd","cH","cU","cV","q0","qs","y_hobs","COST","LYG","ICER"
"433",0.5,0.328571428571429,0.63,0.41,0.047,53.8843181205514,0.07,0.027,0.088,0,0.32,0.37,0.18,0.478,0.13,0.4,5.79,14.2,23.3,5.79,14.2,23.3,0.03,0,0,1950,522.81,853.93,1132.35,1,0.8,0.023,16681700.861497,213.790173431116,78028.379853819
"434",0.1,0.342857142857143,0.07,0.53,0.046,58.5512126858274,0.07,0.032,0.077,0,0.38,0.48,0.17,0.4771,0.17,0.37,5.79,11.7,34.8,5.79,11.7,34.8,0.03,0,0,1300,472.81,953.93,1882.35,0.95,0.8,0.024,11245773.7051571,411.331487339826,27339.9291113989
"435",0.9,0.342857142857143,0.59,0.71,0.049,51.9984242634202,0.07,0.014,0.023,0,0.28,0.11,0.21,0.65,0.3,0.5,5.79,14.7,35.8,5.79,14.7,35.8,0.03,0,0,2250,572.81,603.93,2082.35,1,0.7,0.024,19051576.1889703,175.702200839354,108431.061750839
"436",0.8,0.228571428571429,0.59,0.67,0.049,108.681240041483,0.07,0.084,0.037,0,0.19,0.25,0.17,0.6776,0.48,0.38,6.29,21.2,37.8,6.29,21.2,37.8,0.03,0.03,0,2150,422.81,1153.93,1632.35,0.95,0.8,0.016,17043827.9344504,144.349432220295,118073.397811772
"437",0.5,0.3,0.63,0.76,0.046,31.3539889607736,0.06,0.004,0.017,0,0.45,0.22,0.35,0.7948,0.62,0.46,6.29,14.2,26.3,6.29,14.2,26.3,0.03,0.06,0,600,522.81,1203.93,1032.35,0.75,0.75,0.018,4238204.37394857,365.573599761928,11593.2998901141
"438",0.3,0.35,0.74,0.66,0.049,39.1867888080753,0.06,0.024,0.065,0,0.16,0.26,0.4,0.4832,0.24,0.32,5.79,22.2,38.3,5.79,22.2,38.3,0.03,0,0,1450,622.81,803.93,1332.35,0.95,0.8,0.021,12518875.1414832,370.779069086119,33763.7050881519
"439",0.7,0.314285714285714,0.76,0.58,0.046,43.8741970478901,0.07,0.073,0.085,0,0.42,0.38,0.23,0.4848,0.44,0.08,6.29,16.7,24.8,6.29,16.7,24.8,0.03,0.03,0,1550,422.81,803.93,1982.35,0.9,0.85,0.022,11850731.1154898,184.132883166827,64359.6673862583
"440",0.3,0.3,0.1,0.25,0.05,51.4196253461723,0.07,0.029,0.012,0,0.11,0.44,0.14,0.8089,0.79,0.09,6.29,21.7,26.3,6.29,21.7,26.3,0,0.03,0,1650,372.81,903.93,1932.35,0.85,0.7,0.021,13221833.1986467,215.96719545071,61221.4886203137
"441",0.6,0.328571428571429,0.1,0.66,0.048,50.0389595064815,0.07,0.072,0.047,0,0.37,0.13,0.41,0.7816,0.61,0.44,6.29,22.2,31.8,6.29,22.2,31.8,0.03,0.03,0,1000,622.81,1253.93,1882.35,0.8,0.65,0.023,7709555.06406368,354.579704636111,21742.7984829973
"442",0.2,0.3,0.56,0.25,0.047,47.3416688579637,0.06,0.009,0.061,0,0.33,0.49,0.4,0.7525,0.55,0.45,5.79,19.7,40.8,5.79,19.7,40.8,0.03,0,0,2100,622.81,1003.93,1082.35,0.95,0.7,0.018,18231286.0906404,276.118452547339,66027.047169239
"443",0.3,0.25,0.65,0.24,0.046,36.3044024905524,0.08,0.092,0.033,0,0.34,0.32,0.19,0.8174,0.78,0.17,6.29,23.2,38.3,6.29,23.2,38.3,0.06,0.03,0,1250,572.81,653.93,2082.35,0.8,0.7,0.02,9754215.32157414,202.716264927335,48117.5761849725
"444",0.9,0.25,0.13,0.53,0.048,73.3675488232203,0.08,0.036,0.078,0,0.43,0.37,0.43,0.28,0.1,0.2,6.29,9.7,27.3,6.29,9.7,27.3,0.06,0.03,0,1100,522.81,953.93,2032.35,0.95,0.75,0.02,8762761.7994462,69.7854832749108,125567.114938883
"445",1,0.366666666666667,0.17,0.33,0.048,35.3227023968179,0.06,0.021,0.078,0,0.19,0.48,0.33,0.692,0.44,0.45,6.29,18.7,23.3,6.29,18.7,23.3,0.06,0.03,0,650,622.81,653.93,1682.35,0.9,0.8,0.022,4995860.14652482,27.7893993726238,179775.75116094
"446",0.6,0.242857142857143,0.29,0.33,0.045,35.8402702136693,0.07,0.078,0.068,0,0.2,0.31,0.12,0.4305,0.33,0.15,6.29,20.7,21.3,6.29,20.7,21.3,0.03,0.06,0,2350,522.81,953.93,2082.35,0.8,0.85,0.017,17699062.5854655,79.8029604775966,221784.536307199
"447",0.8,0.228571428571429,0.37,0.21,0.048,35.8419966057378,0.07,0.026,0.024,0,0.1,0.2,0.15,0.7705,0.73,0.15,6.79,17.7,40.3,6.79,17.7,40.3,0.03,0,0,1450,372.81,703.93,1282.35,0.9,0.8,0.016,12565592.1902999,47.1953554056608,266246.372811352
"448",0.6,0.275,0.76,0.19,0.046,49.4248268792201,0.08,0.09,0.002,0,0.36,0.17,0.47,0.3682,0.19,0.22,6.79,19.7,20.8,6.79,19.7,20.8,0.06,0.06,0,950,422.81,953.93,1932.35,0.9,0.8,0.022,6694584.22609489,99.1426208235907,67524.7857125634
"449",0.4,0.25,0.33,0.5,0.049,38.698028217787,0.08,0.094,0.086,0,0.41,0.16,0.48,0.4645,0.15,0.37,6.29,15.7,26.8,6.29,15.7,26.8,0.06,0,0,1850,572.81,903.93,1682.35,0.8,0.7,0.02,15874535.8226714,299.26719490979,53044.6908070113
"450",0.8,0.3,0.56,0.13,0.049,42.7198100450411,0.08,0.011,0.092,0,0.31,0.3,0.25,0.6926,0.42,0.47,6.29,10.7,29.8,6.29,10.7,29.8,0,0.03,0,900,572.81,1003.93,1282.35,0.95,0.75,0.024,6787365.29046734,123.099745727083,55137.118686786
