"","eta","lambda_obs","sigma0","rho","mu","nuC","pH","pU","pV","deltaC","deltaH","deltaU","deltaV","thetaH","epsilonC","epsilonH","LMH","LMU","LMV","LNH","LNU","LNV","ky","kc","cs","cd","cH","cU","cV","q0","qs","y_hobs","COST","LYG","ICER"
"824",0.8,0.3,0.78,0.28,0.051,36.1222447951145,0.06,0.051,0.036,0,0.24,0.4,0.37,0.256,0.2,0.07,5.79,23.7,30.3,5.79,23.7,30.3,0.06,0.06,0,1950,522.81,1203.93,1932.35,0.95,0.65,0.018,14028001.4586082,96.6681108769458,145115.088433508
"825",0.3,0.2,0.71,0.77,0.047,62.662747037094,0.06,0.077,0.006,0,0.26,0.29,0.13,0.5226,0.38,0.23,6.29,11.7,19.3,6.29,11.7,19.3,0.03,0,0,2050,522.81,753.93,1532.35,0.85,0.65,0.012,17889500.7954634,676.466933240322,26445.4918879353
"826",0.7,0.218181818181818,0.34,0.12,0.051,51.2978697898223,0.055,0.008,0.081,0,0.11,0.29,0.41,0.615,0.3,0.45,6.29,17.7,30.8,6.29,17.7,30.8,0.03,0.06,0,2000,472.81,1303.93,1382.35,1,0.8,0.012,14926582.2867634,40.0991457103801,372241.902472738
"827",0.5,0.184615384615385,0.37,0.61,0.055,137.727002506326,0.065,0.056,0.092,0,0.36,0.18,0.43,0.7592,0.57,0.44,5.79,18.7,22.3,5.79,18.7,22.3,0.03,0.03,0,1050,672.81,1253.93,1332.35,0.95,0.7,0.012,8192976.13829543,389.734967222211,21021.9170137334
"828",0.9,0.216666666666667,0.71,0.65,0.053,75.9622987722982,0.06,0.08,0.006,0,0.22,0.18,0.14,0.527,0.45,0.14,6.29,15.7,23.8,6.29,15.7,23.8,0.03,0.03,0,1900,372.81,753.93,1682.35,0.95,0.8,0.013,14943959.8511081,90.2238676549173,165632.002257593
"829",0,0.34,0.23,0.71,0.049,30.4539964701613,0.05,0.077,0.002,0,0.34,0.45,0.28,0.7408,0.64,0.28,6.79,14.2,25.3,6.79,14.2,25.3,0.03,0.06,0,1600,572.81,1053.93,1382.35,0.9,0.75,0.017,11854595.2962779,695.621334201891,17041.7362340951
"830",0.7,0.22,0.01,0.82,0.054,84.8207751551447,0.05,0.088,0.026,0,0.49,0.1,0.1,0.4771,0.17,0.37,6.79,8.7,30.3,6.79,8.7,30.3,0.03,0.06,0,1550,572.81,703.93,2132.35,0.75,0.85,0.011,11442677.1612335,130.673203001508,87567.1285190849
"831",0.9,0.272727272727273,0.04,0.83,0.045,97.2115644286648,0.055,0.035,0.09,0,0.4,0.31,0.43,0.5194,0.11,0.46,6.79,9.7,34.8,6.79,9.7,34.8,0.03,0.03,0,500,572.81,753.93,1282.35,0.9,0.85,0.015,3958327.02688905,74.7418957306531,52959.9495462845
"832",0.8,0.183333333333333,0.6,0.25,0.051,42.9841934616215,0.06,0.052,0.037,0,0.5,0.19,0.14,0.6616,0.53,0.28,6.79,10.7,35.8,6.79,10.7,35.8,0.06,0.06,0,1400,622.81,803.93,1882.35,0.8,0.75,0.011,10186494.202632,87.3251701822951,116650.150023953
"833",0.6,0.216666666666667,0.45,0.02,0.052,61.1490145777773,0.06,0.019,0.01,0,0.34,0.38,0.35,0.2791,0.19,0.11,6.29,9.7,27.3,6.29,9.7,27.3,0,0.03,0,1550,572.81,1153.93,1232.35,0.9,0.75,0.013,12341259.4165715,23.3034964224516,529588.315540552
"834",0.4,0.218181818181818,0.61,0.33,0.049,65.4012183926634,0.055,0.031,0.067,0,0.26,0.19,0.27,0.6436,0.64,0.01,6.29,10.7,34.3,6.29,10.7,34.3,0.03,0.03,0,550,472.81,1053.93,1532.35,1,0.8,0.012,4318036.84524338,190.22875315292,22699.1807162413
"835",0.5,0.290909090909091,0.03,0.62,0.05,43.6649473531866,0.055,0.079,0.093,0,0.33,0.29,0.41,0.8048,0.68,0.39,5.79,13.2,30.3,5.79,13.2,30.3,0.03,0.03,0,1250,472.81,1053.93,1682.35,0.85,0.7,0.016,9952178.45848238,360.638192350627,27596.019139333
"836",0.1,0.236363636363636,0.76,0.74,0.053,38.9825905940912,0.055,0.067,0.091,0,0.49,0.5,0.42,0.18,0.18,0,6.79,11.2,27.3,6.79,11.2,27.3,0.06,0.03,0,600,572.81,853.93,2132.35,0.8,0.8,0.013,4984054.20491291,347.136225611376,14357.6320683184
"837",0.8,0.230769230769231,0.83,0.06,0.052,125.044083059143,0.065,0.042,0.006,0,0.3,0.42,0.43,0.8708,0.81,0.32,6.29,8.7,20.3,6.29,8.7,20.3,0.06,0.03,0,1400,522.81,1053.93,1832.35,0.8,0.8,0.015,10401592.903633,131.481285379049,79110.8245834842
"838",0.3,0.236363636363636,0.44,0.39,0.048,75.3112120891131,0.055,0.065,0.027,0,0.38,0.15,0.23,0.55,0.4,0.25,6.29,21.2,26.3,6.29,21.2,26.3,0.03,0.06,0,800,522.81,603.93,1682.35,0.75,0.7,0.013,5914311.01100754,273.044737381501,21660.593306891
"839",0.1,0.2,0.63,0.19,0.05,47.6525123318499,0.055,0.081,0.06,0,0.12,0.13,0.15,0.8252,0.77,0.24,6.29,10.7,20.3,6.29,10.7,20.3,0.03,0,0,900,422.81,1253.93,1032.35,0.8,0.65,0.011,7744024.90711848,207.347866121414,37347.984582508
"840",0,0.271428571428571,0.89,0.46,0.045,71.767608362525,0.07,0.09,0.07,0,0.34,0.25,0.22,0.3604,0.22,0.18,6.79,12.2,38.8,6.79,12.2,38.8,0.03,0.06,0,1350,372.81,803.93,1132.35,0.95,0.85,0.019,10343584.0680542,171.358989849953,60362.0742460691
"841",0.7,0.214285714285714,0.38,0.7,0.049,52.4794895475382,0.07,0.065,0.054,0,0.36,0.4,0.15,0.6256,0.61,0.04,5.79,16.7,31.3,5.79,16.7,31.3,0.06,0,0,1650,472.81,1203.93,1032.35,0.95,0.75,0.015,14207369.1425364,228.545142260659,62164.3890655644
"842",0.2,0.32,0.03,0.09,0.048,94.4461064690401,0.05,0.093,0.082,0,0.1,0.44,0.33,0.6714,0.47,0.38,6.79,23.2,25.3,6.79,23.2,25.3,0.03,0.06,0,950,672.81,653.93,2082.35,0.95,0.85,0.016,6957513.91406088,54.5752508638484,127484.78117706
"843",0.2,0.2,0.38,0.55,0.051,76.8574716825744,0.065,0.048,0.098,0,0.21,0.26,0.43,0.7228,0.58,0.34,6.29,14.2,26.8,6.29,14.2,26.8,0,0.03,0,1650,422.81,953.93,982.35,0.85,0.75,0.013,13247522.34423,434.553890969783,30485.338227362
"844",0.8,0.272727272727273,0.25,0.38,0.051,25.5559200630855,0.055,0.084,0.087,0,0.13,0.18,0.41,0.7921,0.67,0.37,6.29,13.7,30.8,6.29,13.7,30.8,0.03,0.06,0,700,572.81,803.93,982.35,0.95,0.7,0.015,5023432.18080654,107.835873764519,46584.0541318947
"845",0.1,0.290909090909091,0.06,0.41,0.052,94.8347862969305,0.055,0.036,0.023,0,0.25,0.28,0.22,0.4749,0.41,0.11,6.29,23.7,22.3,6.29,23.7,22.3,0.06,0.03,0,2300,522.81,1153.93,1882.35,0.9,0.65,0.016,18421959.9722117,459.923121507484,40054.4332536063
"846",0.2,0.261538461538462,0.65,0.24,0.05,74.1270508357157,0.065,0.03,0.037,0,0.38,0.21,0.47,0.8712,0.77,0.44,5.79,20.2,39.8,5.79,20.2,39.8,0.03,0.06,0,2250,672.81,603.93,1132.35,0.95,0.75,0.017,16633199.1432795,243.76449072603,68234.7092217535
"847",0.8,0.345454545454545,0.84,0.42,0.052,50.8497617299557,0.055,0.046,0.059,0,0.14,0.22,0.16,0.676,0.6,0.19,6.29,20.7,21.8,6.29,20.7,21.8,0.03,0.03,0,950,622.81,853.93,1232.35,0.95,0.75,0.019,6510086.92769955,156.604033413736,41570.3656271762
"848",0.7,0.32,0.84,0.39,0.049,100.647412780846,0.05,0.065,0.007,0,0.24,0.27,0.13,0.586,0.55,0.08,6.79,15.2,33.3,6.79,15.2,33.3,0.03,0,0,800,672.81,953.93,1782.35,0.9,0.8,0.016,6052299.37853387,161.144044576557,37558.3186734433
"849",0.7,0.2,0.59,0.19,0.05,22.8541195393795,0.055,0.074,0.079,0,0.31,0.34,0.29,0.792,0.74,0.2,5.79,21.2,32.8,5.79,21.2,32.8,0.03,0.03,0,1000,472.81,753.93,1082.35,0.9,0.8,0.011,7854263.4546172,85.7450034899439,91600.2464859465
