"","eta","lambda_obs","sigma0","rho","mu","nuC","pH","pU","pV","deltaC","deltaH","deltaU","deltaV","thetaH","epsilonC","epsilonH","LMH","LMU","LMV","LNH","LNU","LNV","ky","kc","cs","cd","cH","cU","cV","q0","qs","y_hobs","COST","LYG","ICER"
"2333",0.4,0.111111111111111,0.67,0.88,0.164,94.1107863300327,0.063,0.019,0.063,0,0.38,0.17,0.26,0.8432,0.72,0.44,5.79,9.2,30.8,5.79,9.2,30.8,0.06,0,0,1100,672.81,1053.93,1332.35,0.9,0.65,0.007,7220482.03565117,523.595922703708,13790.180027313
"2334",0.1,0.239130434782609,0.08,0.8,0.195,47.0265096598584,0.046,0.036,0.02,0,0.4,0.39,0.23,0.4848,0.44,0.08,6.79,24.2,38.3,6.79,24.2,38.3,0.03,0.06,0,2050,422.81,1003.93,1382.35,0.8,0.7,0.011,11176977.0967011,534.155829318232,20924.5626149335
"2335",0.3,0.176470588235294,0.09,0.04,0.159,40.1274640065854,0.068,0.027,0.088,0,0.48,0.3,0.42,0.32,0.2,0.15,5.79,8.7,40.8,5.79,8.7,40.8,0.06,0,0,1200,672.81,1103.93,1232.35,1,0.7,0.012,8003045.85749596,34.795771159585,230000.531409157
"2336",0.5,0.227272727272727,0.32,0.34,0.112,167.688710025089,0.044,0.021,0.086,0,0.19,0.19,0.3,0.6308,0.29,0.48,6.79,13.2,36.3,6.79,13.2,36.3,0.03,0.03,0,1050,422.81,653.93,1282.35,0.95,0.65,0.01,7288688.26650971,214.767310418844,33937.6055522377
"2337",0.1,0.188679245283019,0.7,0.32,0.194,55.5695057318027,0.053,0.062,0.079,0,0.21,0.17,0.34,0.5535,0.53,0.05,6.79,24.7,19.3,6.79,24.7,19.3,0.03,0.03,0,2150,472.81,1053.93,1532.35,0.95,0.7,0.01,12543120.0549573,254.556461082763,49274.4124490293
"2338",0.5,0.149253731343284,0.35,0.25,0.118,51.0426807906539,0.067,0.045,0.073,0,0.18,0.34,0.44,0.8597,0.77,0.39,5.79,19.2,31.3,5.79,19.2,31.3,0.06,0.06,0,2250,422.81,753.93,1032.35,1,0.75,0.01,14433998.0746603,117.610419671095,122727.204911145
"2339",0.8,0.135135135135135,0.48,0.75,0.161,40.2182085971188,0.037,0.047,0.032,0,0.25,0.48,0.39,0.7975,0.75,0.19,6.79,24.2,36.8,6.79,24.2,36.8,0.03,0,0,2050,572.81,1203.93,1682.35,0.85,0.7,0.005,13692879.0699921,135.119015938853,101339.393088747
"2340",0.4,0.2,0.2,0.85,0.103,68.8136852687946,0.07,0.033,0.03,0,0.22,0.39,0.14,0.503,0.29,0.3,6.29,14.7,38.8,6.29,14.7,38.8,0,0.06,0,2050,372.81,703.93,1982.35,0.95,0.8,0.014,13587090.7346584,396.23325785423,34290.6368037813
"2341",0.3,0.136363636363636,0.07,0.06,0.158,120.07428415046,0.044,0.018,0.025,0,0.45,0.15,0.42,0.5971,0.21,0.49,5.79,13.7,19.3,5.79,13.7,19.3,0,0.06,0,1200,472.81,1103.93,1682.35,1,0.7,0.006,7074752.47172608,54.0226006185767,130959.124342735
"2342",0.4,0.142857142857143,0.5,0.48,0.192,63.7871229724293,0.049,0.014,0.062,0,0.35,0.47,0.19,0.5364,0.39,0.24,5.79,18.7,22.8,5.79,18.7,22.8,0.03,0.03,0,900,472.81,753.93,1632.35,1,0.8,0.007,5255404.82211618,185.132197879219,28387.3085412448
