"","eta","lambda_obs","sigma0","rho","mu","nuC","pH","pU","pV","deltaC","deltaH","deltaU","deltaV","thetaH","epsilonC","epsilonH","LMH","LMU","LMV","LNH","LNU","LNV","ky","kc","cs","cd","cH","cU","cV","q0","qs","y_hobs","COST","LYG","ICER"
"4424",0.2,0.289256198347107,0.86,0.33,0.098,69.8621255351681,0.121,0.059,0.052,0,0.45,0.35,0.25,0.4568,0.44,0.03,6.79,12.7,31.8,6.79,12.7,31.8,0.06,0.03,0,2100,522.81,1103.93,1582.35,0.8,0.7,0.035,14116971.0985701,216.789338982544,65118.3825036101
"4425",0.3,0.447368421052632,0.09,0.78,0.11,48.7180425216353,0.076,0.054,0.095,0,0.11,0.28,0.14,0.3285,0.21,0.15,6.29,23.7,24.3,6.29,23.7,24.3,0.03,0.06,0,550,622.81,703.93,1332.35,0.9,0.8,0.034,3440641.85792888,365.456700216812,9414.63614126563
"4426",0.9,0.472972972972973,0.37,0.14,0.139,28.6145418405316,0.074,0.086,0.008,0,0.12,0.16,0.35,0.337,0.15,0.22,5.79,24.2,31.3,5.79,24.2,31.3,0.03,0.06,0,1900,672.81,653.93,1432.35,0.8,0.7,0.035,11371487.4990046,23.3616297936037,486759.168751064
"4427",0.9,0.313131313131313,0.74,0.86,0.13,33.7053763293125,0.099,0.034,0.081,0,0.39,0.22,0.24,0.7114,0.61,0.26,5.79,8.7,20.8,5.79,8.7,20.8,0.06,0.03,0,2150,472.81,753.93,2032.35,0.85,0.7,0.031,13441547.8730444,216.369171971835,62123.211687449
"4428",0.6,0.65625,0.38,0.17,0.093,33.0023591523528,0.064,0.078,0.096,0,0.38,0.26,0.48,0.2575,0.25,0.01,6.29,10.2,20.3,6.29,10.2,20.3,0.06,0.03,0,750,572.81,1303.93,1982.35,0.8,0.8,0.042,5110347.34894918,62.8762070345956,81276.3299500139
"4429",0.9,0.219858156028369,0.47,0.73,0.105,83.4696173845074,0.141,0.044,0.013,0,0.26,0.28,0.34,0.91,0.88,0.25,5.79,22.7,35.8,5.79,22.7,35.8,0.06,0.03,0,1100,422.81,753.93,1282.35,0.95,0.8,0.031,7289776.28791861,135.598667393826,53759.9404774868
"4430",0.2,0.567567567567568,0.06,0.02,0.091,52.2819192070262,0.074,0.065,0.09,0,0.25,0.34,0.3,0.8722,0.82,0.29,5.79,19.7,34.3,5.79,19.7,34.3,0.06,0.03,0,2150,372.81,1053.93,2032.35,0.8,0.85,0.042,15336509.4114198,56.5724536751386,271095.001455799
"4431",0.9,0.169354838709677,0.15,0.16,0.087,29.5350126548846,0.124,0.05,0.073,0,0.43,0.29,0.5,0.5782,0.26,0.43,5.79,13.7,24.3,5.79,13.7,24.3,0.03,0.06,0,900,622.81,903.93,1982.35,0.75,0.8,0.021,5978793.07396462,45.7181605386613,130775.013769609
"4432",0.3,0.243589743589744,0.08,0.61,0.121,35.4332505366552,0.078,0.066,0.047,0,0.37,0.27,0.44,0.6044,0.57,0.08,6.29,15.7,37.3,6.29,15.7,37.3,0.06,0.03,0,900,422.81,703.93,1782.35,0.95,0.8,0.019,6029280.11209793,293.252721690634,20560.0141657287
"4433",0.7,0.277777777777778,0.25,0.82,0.143,66.2752509981835,0.126,0.04,0.096,0,0.31,0.16,0.41,0.6976,0.58,0.28,6.79,8.7,30.8,6.79,8.7,30.8,0.06,0.03,0,2350,572.81,603.93,1782.35,0.9,0.8,0.035,14886512.7588345,188.082308077554,79148.926398203
"4434",0.9,0.288888888888889,0.3,0.04,0.085,84.8722903674698,0.135,0.033,0.047,0,0.12,0.48,0.44,0.5545,0.45,0.19,6.29,21.7,18.8,6.29,21.7,18.8,0.03,0,0,850,672.81,1153.93,1682.35,0.9,0.75,0.039,6212644.5123744,32.7164731279408,189893.467064108
