"","eta","lambda_obs","sigma0","rho","mu","nuC","pH","pU","pV","deltaC","deltaH","deltaU","deltaV","thetaH","epsilonC","epsilonH","LMH","LMU","LMV","LNH","LNU","LNV","ky","kc","cs","cd","cH","cU","cV","q0","qs","y_hobs","COST","LYG","ICER"
"868",0.3,0.166666666666667,0.68,0.85,0.107,42.0049247168686,0.09,0.039,0.043,0,0.17,0.46,0.28,0.8461,0.81,0.19,5.79,23.2,28.3,5.79,23.2,28.3,0.06,0.03,140,1600,472.81,953.93,1782.35,0.75,0.7,0.015,-4509053.68282023,474.170211572542,-9509.35670941108
"869",0.5,0.3,0.59,0.55,0.052,49.1645023957053,0.08,0.062,0.04,0,0.16,0.48,0.29,0.8198,0.66,0.47,5.79,8.7,38.3,5.79,8.7,38.3,0,0,140,2250,622.81,803.93,1032.35,0.85,0.8,0.024,10401067.8721483,254.863724520746,40810.3110464498
"870",0.6,0.25,0.22,0.55,0.021,43.9890026835404,0.06,0.064,0.085,0,0.21,0.45,0.19,0.398,0.14,0.3,6.29,22.2,23.8,6.29,22.2,23.8,0,0.03,110,2400,572.81,853.93,1682.35,1,0.7,0.015,15211599.8534479,332.254817506091,45782.9324120155
"871",0.6,1.7,0.12,0.33,0.146,79.422688082373,0.02,0.013,0.009,0,0.2,0.42,0.44,0.8076,0.74,0.26,6.29,24.2,21.3,6.29,24.2,21.3,0,0.06,60,650,672.81,1053.93,2082.35,0.8,0.65,0.034,2307757.99957404,164.625404960815,14018.237343886
"872",0.4,0.185714285714286,0.53,0.5,0.033,44.1096691660755,0.07,0.054,0.008,0,0.13,0.14,0.36,0.8002,0.73,0.26,5.79,22.7,24.3,5.79,22.7,24.3,0.03,0,170,1800,622.81,953.93,1932.35,0.8,0.8,0.013,3964274.36238122,222.73787950756,17797.9352732711
"873",0.7,2.3,0.84,0.24,0.045,27.9695847758081,0.02,0.084,0.085,0,0.5,0.45,0.24,0.7745,0.59,0.45,6.79,24.2,21.8,6.79,24.2,21.8,0.03,0.03,110,1100,622.81,603.93,1482.35,0.85,0.7,0.046,5819372.18745879,432.434022424736,13457.2487031167
"874",0.8,0.95,0.87,0.14,0.116,40.319302397429,0.04,0.095,0.034,0,0.47,0.11,0.49,0.5206,0.49,0.06,6.29,16.7,27.3,6.29,16.7,27.3,0.03,0,120,650,622.81,1103.93,1732.35,0.95,0.7,0.038,2635818.69136024,273.103628718002,9651.3499426326
"875",0.9,0.1375,0.09,0.46,0.065,63.3366899045747,0.08,0.008,0.063,0,0.46,0.32,0.25,0.5996,0.56,0.09,6.29,8.7,30.8,6.29,8.7,30.8,0,0.06,150,2250,522.81,603.93,1982.35,0.9,0.8,0.011,14922282.3326236,64.9859394824439,229623.245450731
"876",0.1,0.55,0.46,0.87,0.152,28.7284144567719,0.06,0.098,0.009,0,0.38,0.28,0.45,0.814,0.8,0.07,5.79,21.7,30.3,5.79,21.7,30.3,0.06,0.03,10,500,672.81,703.93,1332.35,0.95,0.65,0.033,1492191.50945019,846.996252772735,1761.7451134705
"877",0.5,0.46,0.32,0.31,0.188,33.9370000063857,0.05,0.073,0.099,0,0.15,0.31,0.26,0.6366,0.54,0.21,6.79,14.2,19.8,6.79,14.2,19.8,0,0.03,110,1050,372.81,803.93,1582.35,0.95,0.8,0.023,3396931.92505816,113.236481996046,29998.5646425927
"878",0.3,0.333333333333333,0.9,0.44,0.185,56.9517932766412,0.03,0.061,0.078,0,0.31,0.47,0.23,0.2432,0.12,0.14,6.79,17.2,25.3,6.79,17.2,25.3,0.03,0.03,130,1250,472.81,1153.93,1982.35,0.8,0.8,0.01,1065501.66898896,134.63629273161,7913.92608464777
"879",0,0.333333333333333,0.28,0.77,0.096,167.688710025089,0.09,0.029,0.008,0,0.46,0.17,0.23,0.688,0.4,0.48,5.79,18.7,32.8,5.79,18.7,32.8,0.06,0,20,1150,422.81,853.93,1132.35,0.75,0.75,0.03,5614760.03521837,536.998219961164,10455.8261582775
"880",0.8,0.975,0.59,0.03,0.145,88.6911729569072,0.04,0.038,0.024,0,0.25,0.32,0.2,0.199,0.11,0.1,6.29,11.2,30.3,6.29,11.2,30.3,0.06,0,50,2050,672.81,1003.93,1432.35,0.8,0.75,0.039,13534265.6616426,22.4239118400965,603563.988217335
"881",0.7,0.211111111111111,0.27,0.32,0.043,78.9438154338011,0.09,0.053,0.065,0,0.41,0.47,0.16,0.628,0.38,0.4,5.79,18.7,21.8,5.79,18.7,21.8,0.03,0.06,180,2250,572.81,653.93,1632.35,1,0.7,0.019,13559591.7980428,175.424433227143,77295.9133947185
"882",0.1,0.3875,0.29,0.74,0.167,58.1335119028445,0.08,0.054,0.032,0,0.38,0.24,0.22,0.8735,0.77,0.45,6.29,11.7,38.3,6.29,11.7,38.3,0.03,0.03,60,1800,472.81,953.93,1932.35,0.75,0.7,0.031,4418458.74464938,520.489844279623,8489.03930251451
"883",0.6,0.666666666666667,0.4,0.62,0.162,61.2490270554353,0.03,0.065,0.057,0,0.42,0.46,0.42,0.7738,0.71,0.22,5.79,21.7,29.3,5.79,21.7,29.3,0,0.03,130,1950,372.81,1153.93,1532.35,0.9,0.7,0.02,6714743.39912491,282.994362396304,23727.4811493298
"884",0.1,0.188888888888889,0.73,0.2,0.187,52.036190163542,0.09,0.023,0.048,0,0.14,0.27,0.46,0.664,0.4,0.44,6.29,23.2,21.3,6.29,23.2,21.3,0.03,0,50,2250,522.81,1303.93,1032.35,0.75,0.7,0.017,12636980.6146336,131.437806549479,96144.1836742491
"885",0.7,0.716666666666667,0.28,0.61,0.116,61.2826828626618,0.06,0.035,0.079,0,0.19,0.11,0.43,0.461,0.23,0.3,6.29,23.7,23.3,6.29,23.7,23.3,0.03,0.06,60,1850,622.81,853.93,1582.35,0.8,0.75,0.043,9675705.62735483,155.461568130745,62238.5695943673
"886",0.3,0.0888888888888889,0.78,0.76,0.071,39.4440847099444,0.09,0.031,0.002,0,0.29,0.45,0.35,0.928,0.88,0.4,6.29,20.7,26.3,6.29,20.7,26.3,0.06,0,150,1850,472.81,1203.93,1932.35,0.85,0.85,0.008,-2207040.69640667,278.354177994326,-7928.89372923893
"887",0.6,0.6,0.78,0.32,0.091,51.4922143726547,0.08,0.036,0.054,0,0.14,0.36,0.18,0.6274,0.31,0.46,5.79,8.7,21.8,5.79,8.7,21.8,0.03,0.06,50,1350,572.81,653.93,2032.35,0.8,0.75,0.048,7086364.24699579,167.108977957838,42405.6465044248
"888",0.9,0.775,0.64,0.35,0.059,36.5083770374938,0.04,0.022,0.066,0,0.15,0.11,0.25,0.549,0.45,0.18,5.79,13.7,39.8,5.79,13.7,39.8,0.03,0.03,30,2100,572.81,803.93,1732.35,0.9,0.7,0.031,15750449.5900541,86.6720120759633,181724.748425706
"889",0,0.1,0.48,0.04,0.184,65.1484383218073,0.1,0.019,0.075,0,0.29,0.38,0.11,0.8746,0.81,0.34,6.79,20.7,21.8,6.79,20.7,21.8,0,0.06,130,1100,472.81,753.93,1382.35,0.95,0.65,0.01,5412752.21250579,55.2117471035262,98036.2422213604
"890",0.8,0.211111111111111,0.36,0.78,0.041,61.1369082401344,0.09,0.003,0.061,0,0.21,0.26,0.39,0.558,0.15,0.48,6.79,17.2,28.8,6.79,17.2,28.8,0,0.03,0,800,672.81,1103.93,1982.35,0.8,0.75,0.019,6341488.68060758,168.259866585907,37688.6586758931
"891",0.3,0.514285714285714,0.26,0.43,0.178,152.936247614724,0.07,0.032,0.002,0,0.1,0.23,0.15,0.595,0.25,0.46,6.29,22.7,37.3,6.29,22.7,37.3,0,0.03,90,2450,572.81,703.93,1132.35,0.95,0.75,0.036,10223316.2838816,253.462461978152,40334.6365536481
"892",0.9,1,0.05,0.66,0.069,51.0198355644573,0.04,0.086,0.058,0,0.23,0.39,0.33,0.5608,0.28,0.39,6.29,12.7,19.3,6.29,12.7,19.3,0.06,0,120,1750,672.81,653.93,2082.35,0.85,0.75,0.04,12354349.6288543,89.1819626100764,138529.689942688
"893",0.7,0.2,0.21,0.53,0.111,40.9125298022634,0.09,0.033,0.024,0,0.37,0.45,0.31,0.7438,0.58,0.39,6.29,14.2,27.3,6.29,14.2,27.3,0,0.03,90,1100,522.81,853.93,1582.35,0.85,0.75,0.018,4905314.03733782,171.143546475356,28661.9866092594
"894",0.8,0.322222222222222,0.54,0.56,0.041,42.7100163635083,0.09,0.052,0.068,0,0.26,0.14,0.47,0.3404,0.32,0.03,6.29,15.2,36.8,6.29,15.2,36.8,0.03,0,40,1800,472.81,1153.93,1682.35,1,0.85,0.029,14488315.5879369,108.989640033173,132932.961183533
"895",0.7,0.614285714285714,0.29,0.85,0.048,73.8538298830649,0.07,0.004,0.036,0,0.18,0.29,0.28,0.6131,0.27,0.47,6.29,23.7,26.8,6.29,23.7,26.8,0.03,0,60,1300,622.81,653.93,1682.35,0.95,0.7,0.043,7337315.20735822,351.04986482971,20901.0626194585
"896",0.4,0.2,0.82,0.22,0.125,80.88170825622,0.08,0.056,0.037,0,0.34,0.23,0.43,0.3562,0.13,0.26,6.29,13.2,29.8,6.29,13.2,29.8,0.03,0.03,160,1200,572.81,953.93,1032.35,0.95,0.85,0.016,4214403.81412468,85.8998196550488,49061.847056823
"897",0,0.583333333333333,0.44,0.74,0.058,62.3043733573764,0.06,0.041,0.015,0,0.28,0.17,0.46,0.7827,0.59,0.47,5.79,22.2,31.3,5.79,22.2,31.3,0.06,0.03,110,1000,422.81,703.93,1282.35,1,0.8,0.035,-9154755.39687705,605.891753680042,-15109.5560242787
"898",0,0.7,0.26,0.16,0.128,48.3945723913589,0.05,0.083,0.054,0,0.49,0.29,0.41,0.9072,0.84,0.42,6.29,15.7,41.3,6.29,15.7,41.3,0.03,0.03,190,800,622.81,1153.93,1932.35,0.95,0.7,0.035,431471.927596748,232.208338845708,1858.12417306616
"899",0.2,0.155555555555556,0,0.35,0.191,39.253281185682,0.09,0.018,0.03,0,0.35,0.16,0.2,0.4424,0.18,0.32,6.29,14.2,19.3,6.29,14.2,19.3,0,0.03,50,1250,422.81,853.93,1782.35,0.75,0.8,0.014,5122381.16560924,146.508002286085,34963.149354851
"900",0.1,0.66,0.63,0.58,0.145,85.5253522876832,0.05,0.041,0.084,0,0.44,0.45,0.26,0.1561,0.13,0.03,6.79,13.7,40.3,6.79,13.7,40.3,0.06,0.03,110,1700,572.81,703.93,1882.35,0.85,0.75,0.033,970463.324389074,303.541734121456,3197.13309669886
"901",0.4,0.48,0.38,0.35,0.177,34.070940427657,0.05,0.097,0.095,0,0.46,0.42,0.49,0.8446,0.79,0.26,5.79,21.2,24.3,5.79,21.2,24.3,0.03,0,130,650,572.81,1003.93,2132.35,1,0.7,0.024,-622819.244621735,256.975455983428,-2423.65264899812
"902",0.6,0.5,0.79,0.31,0.065,49.9998305078793,0.1,0.035,0.066,0,0.43,0.19,0.45,0.699,0.65,0.14,5.79,13.7,35.8,5.79,13.7,35.8,0.06,0.03,50,1500,472.81,1103.93,1082.35,0.95,0.8,0.05,9209416.08182719,359.64877137935,25606.6941269022
"903",0.7,0.425,0.83,0.65,0.149,53.4110537257914,0.04,0.017,0.067,0,0.47,0.35,0.16,0.847,0.83,0.1,6.79,8.2,31.8,6.79,8.2,31.8,0.03,0.06,180,1800,522.81,853.93,1582.35,0.75,0.75,0.017,4984953.92928466,248.365773132899,20071.0181052896
"904",0.6,0.266666666666667,0.07,0.24,0.168,70.3447669167766,0.03,0.059,0.053,0,0.33,0.44,0.37,0.6388,0.57,0.16,6.79,8.7,30.8,6.79,8.7,30.8,0.03,0.06,140,1550,422.81,1253.93,1282.35,0.75,0.7,0.008,6880478.35989458,77.6130662123128,88651.0312718844
"905",0.4,0.285714285714286,0.62,0.02,0.078,42.9841934616215,0.07,0.08,0.085,0,0.37,0.21,0.2,0.379,0.1,0.31,6.29,17.7,36.8,6.29,17.7,36.8,0.03,0.03,110,1250,522.81,653.93,1932.35,0.8,0.7,0.02,9024054.43156315,35.58119370025,253618.653370243
"906",0,0.385714285714286,0.31,0.75,0.049,71.6177157996213,0.07,0.096,0.097,0,0.36,0.39,0.18,0.8698,0.79,0.38,6.29,9.2,21.3,6.29,9.2,21.3,0,0,0,2200,622.81,953.93,1082.35,0.9,0.8,0.027,18865200.8109875,669.025413363298,28198.0331900236
"907",0.2,0.225,0.62,0.86,0.178,43.9809318094536,0.04,0.015,0.027,0,0.27,0.14,0.27,0.568,0.46,0.2,5.79,22.2,39.3,5.79,22.2,39.3,0.03,0.06,80,550,572.81,1203.93,1982.35,0.85,0.65,0.009,-5258846.10401291,648.665465104544,-8107.17756211263
"908",0.8,0.3,0.54,0.54,0.129,57.6715079762634,0.05,0.032,0.035,0,0.3,0.46,0.3,0.7926,0.66,0.39,6.79,19.2,40.8,6.79,19.2,40.8,0.06,0,10,1250,622.81,803.93,982.35,0.85,0.85,0.015,8454572.12609727,82.9317809039371,101946.105991508
"909",0.6,0.185714285714286,0.71,0.47,0.117,81.0434438030907,0.07,0.068,0.097,0,0.27,0.22,0.29,0.6868,0.46,0.42,6.79,12.7,35.3,6.79,12.7,35.3,0,0.03,100,2500,522.81,1053.93,1082.35,0.85,0.8,0.013,13577709.4267837,157.956808920445,85958.3674776702
"910",0.1,1.46666666666667,0.83,0.57,0.161,61.39664955099,0.03,0.034,0.002,0,0.38,0.4,0.31,0.3084,0.24,0.09,6.29,22.7,29.8,6.29,22.7,29.8,0.03,0.03,70,1900,372.81,1303.93,1832.35,0.95,0.65,0.044,5473937.35764155,437.226888235239,12519.6722912806
"911",0.1,0.383333333333333,0.47,0.73,0.05,88.6788904910735,0.06,0.06,0.096,0,0.45,0.18,0.43,0.8024,0.62,0.48,6.79,16.7,34.3,6.79,16.7,34.3,0.03,0.03,180,1700,472.81,753.93,1232.35,0.9,0.75,0.023,-11309433.8545898,666.051534740332,-16979.8180241397
"912",0.9,0.333333333333333,0.28,0.02,0.159,50.6993924673806,0.03,0.067,0.01,0,0.38,0.11,0.47,0.7768,0.69,0.28,6.29,9.7,37.3,6.29,9.7,37.3,0.03,0.06,170,1750,522.81,1103.93,1132.35,0.85,0.85,0.01,10192094.4047813,22.2341162905745,458398.897963035
"913",0.3,0.35,0.28,0.88,0.101,64.1332113473757,0.04,0.084,0.072,0,0.2,0.28,0.23,0.7954,0.69,0.34,6.29,24.2,34.8,6.29,24.2,34.8,0.03,0.06,40,600,572.81,1053.93,1782.35,0.9,0.65,0.014,-590013.849814292,737.898946363965,-799.586247848185
"914",0.4,0.875,0.9,0.51,0.028,62.7108964808845,0.04,0.004,0.097,0,0.17,0.27,0.43,0.6656,0.56,0.24,6.79,21.7,27.3,6.79,21.7,27.3,0.03,0.03,30,950,522.81,953.93,1132.35,0.85,0.65,0.035,4992153.17566888,466.70530088754,10696.5855459007
