"","eta","lambda_obs","sigma0","rho","mu","nuC","pH","pU","pV","deltaC","deltaH","deltaU","deltaV","thetaH","epsilonC","epsilonH","LMH","LMU","LMV","LNH","LNU","LNV","ky","kc","cs","cd","cH","cU","cV","q0","qs","y_hobs","COST","LYG","ICER"
"1114",0.4,0.317647058823529,0.77,0.53,0.028,76.0502213602285,0.085,0.235,0.075,0,0.47,0.31,0.18,0.8353,0.73,0.39,5.79,20.7,31.8,5.79,20.7,31.8,0.03,0.03,0,2200,622.81,1153.93,1882.35,0.95,0.8,0.027,16910233.5741373,431.316848356494,39206.0584662359
"1115",0.9,0.342105263157895,0.36,0.32,0.026,76.0502213602285,0.076,0.245,0.075,0,0.48,0.2,0.35,0.8504,0.78,0.32,5.79,12.7,30.3,5.79,12.7,30.3,0.03,0.03,0,1900,422.81,703.93,1532.35,0.8,0.8,0.026,15675635.0018499,131.55568385642,119155.893096632
"1116",0.7,0.316455696202532,0.66,0.35,0.032,42.2592205452564,0.079,0.184,0.067,0,0.34,0.44,0.3,0.615,0.45,0.3,5.79,23.2,27.3,5.79,23.2,27.3,0.03,0.03,0,800,472.81,753.93,2032.35,0.95,0.7,0.025,5872523.05086299,229.608645414674,25576.2279345239
"1117",0.5,0.268292682926829,0.42,0.01,0.03,83.1186321673557,0.082,0.2,0.03,0,0.23,0.43,0.35,0.8245,0.73,0.35,6.79,9.7,27.8,6.79,9.7,27.8,0,0.03,0,2400,622.81,653.93,1182.35,0.9,0.75,0.022,19970521.6779666,63.9981182615288,312048.576121518
"1118",0.2,0.30952380952381,0.82,0.57,0.027,89.9506190935636,0.084,0.209,0.077,0,0.29,0.44,0.28,0.9148,0.88,0.29,6.29,16.2,38.8,6.29,16.2,38.8,0.03,0.03,0,2300,372.81,953.93,1382.35,0.85,0.7,0.026,18735144.025288,596.528515289137,31406.9546469327
"1119",0.8,0.345679012345679,0.85,0.17,0.025,25.7290288558802,0.081,0.199,0.079,0,0.17,0.46,0.38,0.6379,0.29,0.49,5.79,13.7,40.8,5.79,13.7,40.8,0,0.03,0,1400,522.81,1103.93,1332.35,0.8,0.65,0.028,9637404.45376758,207.014077336719,46554.3434425082
"1120",0.9,0.289473684210526,0.8,0.04,0.028,53.6985103949721,0.076,0.224,0.002,0,0.4,0.11,0.26,0.61,0.4,0.35,6.79,8.2,38.8,6.79,8.2,38.8,0.06,0.03,0,1450,572.81,1053.93,1082.35,0.85,0.75,0.022,10921638.5283862,148.359432533704,73616.0710638003
"1121",0.7,0.263157894736842,0.61,0.04,0.027,39.7401997205584,0.076,0.242,0.034,0,0.14,0.34,0.44,0.7226,0.62,0.27,5.79,12.2,34.8,5.79,12.2,34.8,0,0.06,0,2450,622.81,703.93,1982.35,1,0.75,0.02,18827886.6007718,73.1617857755055,257345.913596814
"1122",0.8,0.375,0.15,0.63,0.033,22.8541195393795,0.08,0.244,0.05,0,0.27,0.22,0.32,0.4606,0.38,0.13,5.79,13.2,22.8,5.79,13.2,22.8,0.03,0.03,0,1250,522.81,1003.93,1682.35,0.75,0.85,0.03,10129948.2976477,89.6271844902017,113023.167639
"1123",0.4,0.292682926829268,0,0.66,0.032,152.688349017296,0.082,0.23,0.014,0,0.21,0.25,0.17,0.6736,0.36,0.49,6.29,11.7,20.8,6.29,11.7,20.8,0,0.06,0,650,572.81,653.93,1232.35,0.95,0.65,0.024,4813336.57801177,647.774376359278,7430.57575859119
"1124",0.8,0.346153846153846,0.09,0.49,0.031,73.22738439532,0.078,0.186,0.063,0,0.18,0.32,0.5,0.6342,0.38,0.41,6.79,9.2,34.3,6.79,9.2,34.3,0.03,0,0,1600,372.81,1303.93,1732.35,0.8,0.75,0.027,14270245.9079432,114.989213829202,124100.734605764
"1125",0.4,0.282352941176471,0.41,0.01,0.034,46.0449908330872,0.085,0.15,0.066,0,0.41,0.49,0.49,0.868,0.78,0.4,6.29,16.7,37.8,6.29,16.7,37.8,0,0,0,850,622.81,953.93,1382.35,0.9,0.85,0.024,7033109.49841064,104.187481379335,67504.3623792369
"1126",1,0.3625,0.18,0.57,0.03,74.6213106891972,0.08,0.224,0.03,0,0.48,0.46,0.42,0.3048,0.21,0.12,6.29,10.2,31.8,6.29,10.2,31.8,0,0.03,0,2250,622.81,1303.93,1032.35,0.9,0.8,0.029,18447881.0063026,49.9111899796994,369614.128891857
"1127",0.4,0.353658536585366,0.45,0.48,0.034,77.0007858673341,0.082,0.181,0.025,0,0.43,0.48,0.26,0.7171,0.59,0.31,6.79,20.7,34.3,6.79,20.7,34.3,0.03,0.06,0,900,372.81,1303.93,1982.35,0.95,0.75,0.029,6282015.75068997,382.872669773013,16407.584679299
"1128",0.3,0.316455696202532,0.27,0.42,0.031,32.1140492858496,0.079,0.177,0.026,0,0.18,0.47,0.37,0.7408,0.73,0.04,6.29,14.2,37.8,6.29,14.2,37.8,0.03,0.06,0,600,572.81,1303.93,2032.35,0.9,0.7,0.025,4220589.73084367,379.791464103804,11112.9136111656
"1129",0.9,0.289156626506024,0.57,0.18,0.027,56.7873034533006,0.083,0.232,0.005,0,0.31,0.47,0.38,0.916,0.88,0.3,6.29,9.2,18.8,6.29,9.2,18.8,0.06,0.06,0,1150,572.81,1203.93,1632.35,0.8,0.7,0.024,8159131.73618517,134.849481740157,60505.4734426575
"1130",0.2,0.365853658536585,0.22,0.22,0.03,27.0741973380673,0.082,0.238,0.027,0,0.49,0.15,0.22,0.344,0.2,0.18,6.79,20.2,28.3,6.79,20.2,28.3,0.06,0.06,0,900,372.81,1053.93,1482.35,1,0.8,0.03,6717133.75197007,171.348159819122,39201.668457139
"1131",0.9,0.313253012048193,0.32,0.56,0.027,74.9147739990827,0.083,0.234,0.017,0,0.21,0.4,0.22,0.558,0.32,0.35,6.29,13.2,36.8,6.29,13.2,36.8,0.03,0.03,0,1600,372.81,1253.93,1932.35,1,0.75,0.026,13153804.9011351,112.420444412753,117005.451898418
"1132",0.5,0.355263157894737,0.58,0.76,0.025,31.3539889607736,0.076,0.238,0.002,0,0.22,0.43,0.45,0.8724,0.78,0.42,6.29,24.2,32.8,6.29,24.2,32.8,0,0.03,0,1650,372.81,953.93,2082.35,0.85,0.65,0.027,13079870.3137422,618.915720719583,21133.5241226945
"1133",0.3,0.285714285714286,0.09,0.07,0.031,37.1063628669026,0.084,0.16,0.076,0,0.47,0.18,0.45,0.6315,0.33,0.45,6.29,24.2,40.8,6.29,24.2,40.8,0.03,0,0,2200,672.81,853.93,1332.35,0.8,0.8,0.024,19587918.9730794,79.7121682998154,245733.10939686
