"","eta","lambda_obs","sigma0","rho","mu","nuC","pH","pU","pV","deltaC","deltaH","deltaU","deltaV","thetaH","epsilonC","epsilonH","LMH","LMU","LMV","LNH","LNU","LNV","ky","kc","cs","cd","cH","cU","cV","q0","qs","y_hobs","COST","LYG","ICER"
"2498",0.3,0.364864864864865,0.05,0.63,0.094,39.0448357985332,0.074,0.0622,0.042,0,0.29,0.36,0.39,0.4749,0.11,0.41,6.29,17.2,33.3,6.29,17.2,33.3,0,0.06,0,1100,572.81,853.93,1582.35,1,0.75,0.027,7246465.21998139,472.181241038982,15346.7876106987
"2499",0.1,0.364864864864865,0.64,0.17,0.118,42.6052760471445,0.074,0.0616,0.091,0,0.44,0.14,0.42,0.7651,0.71,0.19,6.29,17.2,32.8,6.29,17.2,32.8,0.06,0.03,0,2100,622.81,753.93,1082.35,1,0.7,0.027,14094046.1066913,200.818807006273,70182.8992851801
"2500",0.2,0.385714285714286,0.2,0.87,0.112,52.0028937811175,0.07,0.0598,0.071,0,0.45,0.15,0.49,0.9268,0.88,0.39,6.29,16.2,19.8,6.29,16.2,19.8,0.06,0.03,0,1300,472.81,653.93,982.35,0.85,0.75,0.027,8812325.2390873,556.910109084498,15823.6043758908
"2501",0.6,0.309859154929577,0.61,0.57,0.098,104.35400419468,0.071,0.0628,0.038,0,0.49,0.28,0.27,0.5268,0.48,0.09,5.79,17.2,37.8,5.79,17.2,37.8,0.03,0.03,0,2450,422.81,703.93,1732.35,0.9,0.7,0.022,17137052.8236666,281.626355650452,60850.3163139203
"2502",0.5,0.337662337662338,0.02,0.07,0.119,137.727002506326,0.077,0.0561,0.029,0,0.38,0.47,0.2,0.8275,0.75,0.31,6.29,18.2,32.8,6.29,18.2,32.8,0.03,0.06,0,1000,572.81,853.93,1332.35,1,0.8,0.026,6129062.71820424,82.2639317431817,74504.8600076453
"2503",0.7,0.338028169014085,0.36,0.84,0.098,80.1300860740177,0.071,0.0593,0.008,0,0.33,0.11,0.15,0.4528,0.43,0.04,6.79,13.2,23.8,6.79,13.2,23.8,0.03,0.03,0,2000,472.81,1203.93,1332.35,0.85,0.75,0.024,14132299.2115393,225.367079998358,62707.9128488607
"2504",0.4,0.375,0.5,0.42,0.084,40.0875453825165,0.072,0.0552,0.096,0,0.16,0.14,0.36,0.5744,0.24,0.44,5.79,10.2,40.8,5.79,10.2,40.8,0,0.06,0,1500,472.81,1103.93,2082.35,1,0.85,0.027,10165264.0511559,181.925766222911,55875.8897225179
"2505",0.5,0.368421052631579,0.11,0.63,0.106,34.6364585564026,0.076,0.0584,0.04,0,0.18,0.28,0.47,0.5578,0.34,0.33,6.29,21.2,34.3,6.29,21.2,34.3,0,0,0,1900,572.81,603.93,1632.35,1,0.75,0.028,14208810.1745571,332.921707205603,42679.13406374
"2506",0.2,0.306666666666667,0.22,0.3,0.104,59.8497593585664,0.075,0.0567,0.087,0,0.44,0.32,0.33,0.3307,0.31,0.03,6.79,19.2,22.3,6.79,19.2,22.3,0.03,0.03,0,1950,622.81,1103.93,1782.35,0.9,0.85,0.023,13606186.9438572,137.276724160169,99115.0322612743
"2507",0.1,0.371794871794872,0.55,0.5,0.1,60.7856132184569,0.078,0.0562,0.079,0,0.38,0.18,0.29,0.657,0.65,0.02,6.29,22.2,26.3,6.29,22.2,26.3,0.03,0.03,0,1550,522.81,1053.93,1732.35,0.9,0.75,0.029,10800561.0858911,407.052648857663,26533.5727852439
"2508",0.3,0.285714285714286,0.38,0.38,0.109,79.422688082373,0.07,0.0587,0.074,0,0.22,0.15,0.14,0.6343,0.31,0.47,6.29,19.2,28.3,6.29,19.2,28.3,0.06,0.06,0,1950,422.81,653.93,1182.35,1,0.75,0.02,12653761.1067971,244.887318425109,51671.7696456254
"2509",0.1,0.367088607594937,0.43,0.59,0.087,60.9146317266664,0.079,0.0586,0.015,0,0.36,0.24,0.15,0.354,0.15,0.24,6.29,8.2,33.8,6.29,8.2,33.8,0.03,0,0,1950,372.81,1253.93,1232.35,0.9,0.85,0.029,15234843.665753,278.879863080793,54628.6974522048
"2510",0.4,0.253164556962025,0,0.82,0.119,100.864380517269,0.079,0.0599,0.002,0,0.25,0.32,0.43,0.895,0.86,0.25,6.29,21.7,36.3,6.29,21.7,36.3,0.03,0.03,0,1850,372.81,903.93,1082.35,0.9,0.75,0.02,12581026.2312372,424.275893955454,29652.9367104654
"2511",0.4,0.35,0.32,0.22,0.097,52.520476782729,0.08,0.0617,0.047,0,0.18,0.41,0.35,0.751,0.7,0.17,6.29,16.7,26.8,6.29,16.7,26.8,0.03,0,0,600,472.81,1053.93,1732.35,0.8,0.85,0.028,4302000.55478695,87.7832842810371,49007.0585763703
"2512",0.9,0.310810810810811,0.55,0.02,0.109,47.3921293960463,0.074,0.0591,0.065,0,0.38,0.41,0.45,0.8248,0.76,0.27,6.29,14.2,38.8,6.29,14.2,38.8,0,0,0,1600,622.81,1203.93,1732.35,0.9,0.8,0.023,11370875.6891883,114.273317940942,99505.9554940459
"2513",0.2,0.378378378378378,0.69,0.07,0.086,106.091445874782,0.074,0.0643,0.078,0,0.13,0.33,0.21,0.8218,0.78,0.19,6.29,12.7,39.3,6.29,12.7,39.3,0,0.03,0,2000,422.81,1253.93,1232.35,1,0.8,0.028,14459381.36242,82.7800560688647,174672.282782598
"2514",0.1,0.342105263157895,0.63,0.45,0.101,45.320914099586,0.076,0.0634,0.065,0,0.13,0.34,0.31,0.6205,0.45,0.31,5.79,22.2,29.3,5.79,22.2,29.3,0.06,0,0,2300,672.81,753.93,1482.35,0.95,0.8,0.026,17494445.921511,277.073815532782,63140.0187992183
"2515",0.8,0.272727272727273,0.6,0.74,0.087,33.5952730479779,0.077,0.0565,0.041,0,0.45,0.35,0.18,0.8722,0.82,0.29,6.29,11.7,35.3,6.29,11.7,35.3,0.06,0.03,0,2400,522.81,753.93,1232.35,0.85,0.8,0.021,17254711.031256,196.051776671949,88010.9903830559
"2516",0.2,0.293333333333333,0.6,0.54,0.12,52.0661317847362,0.075,0.0589,0.081,0,0.49,0.14,0.28,0.4816,0.46,0.04,6.79,18.2,36.8,6.79,18.2,36.8,0.03,0,0,1250,522.81,653.93,2032.35,0.95,0.8,0.022,8944191.58752486,305.640303224929,29263.7832548628
"2517",0.4,0.310810810810811,0.35,0.67,0.085,88.4807840592321,0.074,0.0644,0.023,0,0.5,0.24,0.44,0.5908,0.34,0.38,6.79,19.7,40.8,6.79,19.7,40.8,0.03,0.03,0,1300,672.81,953.93,1382.35,0.95,0.75,0.023,9299685.67603052,411.968718708838,22573.7665354227
"2518",0.3,0.394366197183099,0.39,0.39,0.107,39.7629724354162,0.071,0.0611,0.019,0,0.45,0.41,0.21,0.7244,0.47,0.48,6.29,18.7,34.3,6.29,18.7,34.3,0,0.06,0,2500,372.81,703.93,1432.35,0.8,0.7,0.028,16175127.258668,311.115982854153,51990.6663433961
"2519",0.1,0.328947368421053,0.13,0.41,0.093,56.887536972428,0.076,0.058,0.059,0,0.41,0.45,0.36,0.11,0.11,0,6.29,18.7,18.8,6.29,18.7,18.8,0.03,0.03,0,2100,622.81,1053.93,1182.35,0.9,0.75,0.025,15064058.0284466,313.045814895568,48120.9372930668
"2520",0.9,0.337662337662338,0.86,0.69,0.103,88.6717828706554,0.077,0.0646,0.083,0,0.3,0.14,0.32,0.688,0.61,0.2,6.29,10.7,23.3,6.29,10.7,23.3,0.06,0.03,0,750,372.81,953.93,1282.35,0.8,0.8,0.026,4162117.99861314,204.910369234349,20311.8954602686
"2521",1,0.325,0.3,0.05,0.118,56.3636026749678,0.08,0.0592,0.047,0,0.47,0.33,0.5,0.2605,0.15,0.13,6.79,8.2,24.8,6.79,8.2,24.8,0.03,0.03,0,2000,622.81,1203.93,2032.35,0.95,0.8,0.026,13341531.6340993,31.2642198897329,426734.832378806
"2522",0.4,0.289473684210526,0.75,0.46,0.092,40.7760529734747,0.076,0.0645,0.033,0,0.17,0.41,0.43,0.7827,0.59,0.47,6.79,20.7,36.3,6.79,20.7,36.3,0.03,0,0,1600,522.81,1303.93,1182.35,0.8,0.7,0.022,11929554.888324,284.945948633605,41866.0273835427
"2523",0.7,0.295774647887324,0.64,0.06,0.119,58.1335119028445,0.071,0.0597,0.037,0,0.39,0.48,0.5,0.59,0.18,0.5,6.29,14.7,26.3,6.29,14.7,26.3,0.06,0.03,0,1000,372.81,653.93,1932.35,0.9,0.7,0.021,6544405.79447406,75.6627913449051,86494.374290815
"2524",0.7,0.305555555555556,0.76,0.08,0.094,152.688349017296,0.072,0.0594,0.088,0,0.41,0.36,0.31,0.9142,0.89,0.22,5.79,8.2,37.3,5.79,8.2,37.3,0.06,0.03,0,650,522.81,753.93,1432.35,0.85,0.7,0.022,3967716.78632268,168.059037724644,23609.0652430342
"2525",0,0.298701298701299,0.1,0.8,0.091,83.1186321673557,0.077,0.058,0.068,0,0.24,0.48,0.25,0.1486,0.14,0.01,5.79,12.7,28.3,5.79,12.7,28.3,0.03,0,0,1700,572.81,903.93,1682.35,0.9,0.75,0.023,13298975.3758807,682.69897944974,19479.9989105004
"2526",0.4,0.416666666666667,0.62,0.38,0.091,78.5564380125547,0.072,0.0619,0.088,0,0.15,0.44,0.15,0.6472,0.64,0.02,6.29,7.7,22.8,6.29,7.7,22.8,0.03,0.03,0,1800,572.81,1253.93,1182.35,0.85,0.7,0.03,12769290.8897657,247.514203074129,51590.133944521
"2527",0.5,0.397260273972603,0.25,0.73,0.118,74.1717370272303,0.073,0.0565,0.093,0,0.42,0.47,0.48,0.89,0.8,0.45,6.29,14.2,38.3,6.29,14.2,38.3,0.03,0.03,0,1600,522.81,803.93,1982.35,0.8,0.8,0.029,10646387.913134,277.982151279393,38298.818338281
"2528",0.6,0.272727272727273,0.89,0.03,0.085,44.7075942362008,0.077,0.0647,0.01,0,0.4,0.32,0.18,0.4888,0.29,0.28,6.79,15.2,40.8,6.79,15.2,40.8,0.06,0.06,0,2050,622.81,1053.93,1982.35,0.8,0.7,0.021,12649993.3281851,119.985420547828,105429.420261461
"2529",0.6,0.357142857142857,0.36,0.13,0.118,105.547584328494,0.07,0.0562,0.086,0,0.34,0.26,0.4,0.5716,0.49,0.16,5.79,17.2,31.8,5.79,17.2,31.8,0.03,0.03,0,650,422.81,1103.93,1682.35,0.85,0.85,0.025,4234577.80399271,61.8006008991442,68520.0102002787
"2530",0.2,0.380281690140845,0.23,0.2,0.096,68.9883755566204,0.071,0.0637,0.023,0,0.41,0.4,0.29,0.838,0.73,0.4,6.29,12.7,40.3,6.29,12.7,40.3,0.03,0.03,0,1200,672.81,753.93,1732.35,0.9,0.85,0.027,8322595.78357196,143.955028969421,57813.8592528076
"2531",0.3,0.28169014084507,0.24,0.06,0.118,53.2634891492865,0.071,0.0584,0.09,0,0.44,0.44,0.43,0.9174,0.86,0.41,5.79,21.7,28.8,5.79,21.7,28.8,0.03,0,0,1400,622.81,1053.93,2032.35,0.75,0.7,0.02,10040696.9175114,73.8684988087916,135926.64098267
"2532",0.2,0.315068493150685,0.73,0.44,0.085,50.8873863851072,0.073,0.0602,0.01,0,0.29,0.12,0.45,0.7378,0.54,0.43,6.79,19.7,27.3,6.79,19.7,27.3,0,0.03,0,1750,372.81,1253.93,1082.35,0.95,0.65,0.023,12691247.8597515,517.859611607414,24507.1204150454
"2533",0.1,0.397260273972603,0.41,0.55,0.107,35.12786129834,0.073,0.0647,0.088,0,0.23,0.42,0.13,0.7492,0.62,0.34,6.29,9.2,21.3,6.29,9.2,21.3,0,0.06,0,1350,572.81,753.93,1232.35,0.85,0.7,0.029,8632529.94742658,522.770677209623,16513.0339626242
"2534",0.6,0.333333333333333,0.28,0.16,0.092,81.0434438030907,0.072,0.0562,0.02,0,0.5,0.26,0.41,0.7454,0.62,0.33,6.79,24.2,28.8,6.79,24.2,28.8,0,0,0,1350,622.81,653.93,1732.35,0.9,0.7,0.024,10185641.4654603,146.162450887825,69687.1282849343
"2535",0.9,0.36,0.62,0.34,0.12,35.443626096378,0.075,0.065,0.016,0,0.31,0.44,0.11,0.8521,0.83,0.13,5.79,21.2,37.8,5.79,21.2,37.8,0.06,0,0,700,572.81,1003.93,1132.35,0.75,0.7,0.027,4263927.48148174,111.707504368017,38170.4658572833
"2536",0.3,0.394366197183099,0.45,0.05,0.119,72.2413258405983,0.071,0.0632,0.034,0,0.28,0.24,0.23,0.82,0.7,0.4,6.29,17.7,38.8,6.29,17.7,38.8,0,0.06,0,550,472.81,1003.93,1082.35,0.95,0.7,0.028,3176678.64496041,87.6201019662849,36255.1352220836
"2537",0.1,0.305555555555556,0.89,0.24,0.09,49.4582871424316,0.072,0.065,0.067,0,0.28,0.41,0.19,0.3795,0.27,0.15,6.29,8.7,34.3,6.29,8.7,34.3,0.06,0,0,1000,422.81,753.93,2132.35,0.9,0.7,0.022,7804463.21513189,190.718322857966,40921.4127839417
