"","eta","lambda_obs","sigma0","rho","mu","nuC","pH","pU","pV","deltaC","deltaH","deltaU","deltaV","thetaH","epsilonC","epsilonH","LMH","LMU","LMV","LNH","LNU","LNV","ky","kc","cs","cd","cH","cU","cV","q0","qs","y_hobs","COST","LYG","ICER"
"1387",0,0.2,0.74,0.38,0.077,47.9004725116476,0.05,0.0012,0.012,0,0.14,0.19,0.32,0.58,0.4,0.3,6.29,13.2,27.8,6.29,13.2,27.8,0.03,0,0,1000,672.81,1303.93,1682.35,0.9,0.65,0.01,8168869.75512909,472.131629193359,17302.1023164359
"1388",0.2,0.2,0.37,0.4,0.075,30.2850285924875,0.045,0.0017,0.061,0,0.38,0.29,0.14,0.5839,0.27,0.43,6.29,8.7,39.8,6.29,8.7,39.8,0.06,0.03,0,650,372.81,1203.93,1232.35,0.9,0.65,0.009,4916487.04515387,381.182747185179,12897.9789391293
"1389",1,0.18,0.67,0.09,0.07,30.7573966415218,0.05,0.0014,0.034,0,0.17,0.27,0.5,0.715,0.62,0.25,6.29,20.7,33.3,6.29,20.7,33.3,0.03,0.03,0,1850,372.81,903.93,1732.35,0.85,0.7,0.009,14137414.7977463,24.8679399231805,568499.636134643
"1390",0.8,0.177777777777778,0.88,0.64,0.079,25.5559200630855,0.045,0.0014,0.046,0,0.17,0.26,0.26,0.6346,0.58,0.13,5.79,20.7,41.3,5.79,20.7,41.3,0.06,0.06,0,550,472.81,753.93,1132.35,0.95,0.75,0.008,3558633.83131506,146.801122794923,24241.1894647861
"1391",0.7,0.228571428571429,0.32,0.03,0.08,52.2681353433776,0.035,0.0014,0.068,0,0.37,0.24,0.5,0.8758,0.77,0.46,5.79,24.2,36.8,5.79,24.2,36.8,0.03,0.06,0,1100,472.81,803.93,2132.35,0.85,0.75,0.008,7648075.22618664,31.020114235268,246552.129633721
"1392",0.5,0.228571428571429,0.65,0.87,0.078,49.3407912679655,0.035,0.0019,0.09,0,0.14,0.38,0.11,0.8955,0.81,0.45,6.29,16.2,38.3,6.29,16.2,38.3,0.06,0.03,0,1950,572.81,753.93,982.35,0.85,0.7,0.008,14655504.2219553,417.537654997268,35099.8384134988
"1393",0.5,0.233333333333333,0.7,0.85,0.078,80.4377763541327,0.03,0.0018,0.002,0,0.44,0.34,0.18,0.7838,0.77,0.06,5.79,17.2,25.3,5.79,17.2,25.3,0.03,0,0,2400,672.81,1053.93,2082.35,0.75,0.85,0.007,19404321.424183,214.906555338262,90291.9010247997
"1394",0.9,0.2,0.35,0.14,0.072,46.962489146129,0.045,0.0019,0.017,0,0.42,0.4,0.41,0.5654,0.18,0.47,6.29,11.7,39.3,6.29,11.7,39.3,0.03,0,0,2300,522.81,953.93,1532.35,0.9,0.8,0.009,18913592.0328727,34.6899081801535,545218.855427626
"1395",1,0.2,0.33,0.78,0.075,43.9890026835404,0.04,0.0015,0.087,0,0.32,0.24,0.1,0.604,0.6,0.01,6.29,24.2,27.8,6.29,24.2,27.8,0.03,0.06,0,2400,622.81,853.93,1582.35,0.95,0.8,0.008,16939052.6998109,19.260177119756,879485.821676882
"1396",0.8,0.228571428571429,0.08,0.03,0.071,74.6975829908124,0.035,0.002,0.002,0,0.35,0.26,0.35,0.699,0.65,0.14,6.29,21.7,40.8,6.29,21.7,40.8,0.03,0.03,0,600,422.81,853.93,1332.35,0.9,0.85,0.008,4573181.43466144,19.6112788679761,233191.392843285
"1397",0.7,0.225,0.53,0.47,0.078,77.7330263827454,0.04,0.0014,0.082,0,0.37,0.39,0.34,0.3616,0.24,0.16,6.29,17.2,35.3,6.29,17.2,35.3,0.03,0.03,0,1950,472.81,1153.93,1182.35,0.95,0.75,0.009,14648971.6878755,144.49478685552,101380.624219495
"1398",0.1,0.222222222222222,0.65,0.58,0.076,47.0265096598584,0.045,0.0018,0.047,0,0.14,0.22,0.28,0.448,0.2,0.31,6.29,24.2,36.8,6.29,24.2,36.8,0.06,0,0,1800,522.81,653.93,1782.35,0.85,0.7,0.01,14764398.4677852,489.120916757873,30185.5798064223
"1399",0.5,0.2,0.84,0.42,0.075,35.3895088860917,0.04,0.0019,0.089,0,0.42,0.28,0.2,0.4374,0.42,0.03,6.29,21.2,20.8,6.29,21.2,20.8,0.06,0.06,0,2350,622.81,1253.93,2132.35,0.8,0.85,0.008,16308021.8036558,109.551681519554,148861.446738679
"1400",0.5,0.333333333333333,0.83,0.24,0.077,57.7090446405651,0.03,0.0014,0.049,0,0.41,0.21,0.37,0.7445,0.65,0.27,6.29,15.7,39.3,6.29,15.7,39.3,0.03,0.06,0,2250,522.81,1203.93,1982.35,0.95,0.65,0.01,15534909.4194901,221.33315397296,70187.9006404437
"1401",0.5,0.2,0.6,0.28,0.078,65.8533578954972,0.04,0.0018,0.001,0,0.5,0.41,0.21,0.4876,0.39,0.16,6.29,24.2,33.8,6.29,24.2,33.8,0.03,0,0,1100,422.81,953.93,1132.35,0.85,0.75,0.008,8862961.97837309,135.287218955255,65512.1898935957
"1402",0.3,0.225,0.09,0.25,0.078,72.2413258405983,0.04,0.001,0.097,0,0.25,0.49,0.19,0.7984,0.76,0.16,6.29,8.2,39.3,6.29,8.2,39.3,0,0.03,0,1100,522.81,1153.93,1932.35,0.75,0.8,0.009,8273317.56066367,122.291683159846,67652.3320874543
"1403",0.8,0.233333333333333,0.29,0.85,0.076,55.7737646778405,0.03,0.002,0.007,0,0.26,0.24,0.41,0.5457,0.41,0.23,6.29,10.7,25.8,6.29,10.7,25.8,0,0.06,0,1600,522.81,903.93,1782.35,0.85,0.75,0.007,11286210.3613541,162.787453886182,69330.9594315865
"1404",0.9,0.2,0.34,0.79,0.076,94.2774000972481,0.035,0.0012,0.07,0,0.35,0.12,0.17,0.7585,0.65,0.31,5.79,14.7,30.8,5.79,14.7,30.8,0,0.03,0,2450,522.81,903.93,1132.35,0.8,0.75,0.007,18614799.2539456,87.3800919366904,213032.497922211
"1405",0.3,0.18,0.43,0.61,0.078,52.2819192070262,0.05,0.0019,0.085,0,0.18,0.48,0.4,0.6346,0.58,0.13,6.29,9.7,40.8,6.29,9.7,40.8,0.03,0,0,1400,422.81,903.93,1782.35,1,0.8,0.009,11382499.5483281,343.749004797869,33112.8218248115
"1406",0.1,0.257142857142857,0.68,0.06,0.075,78.5564380125547,0.035,0.0012,0.076,0,0.11,0.26,0.27,0.712,0.6,0.28,6.29,22.2,32.3,6.29,22.2,32.3,0.03,0.06,0,1550,622.81,653.93,1732.35,0.9,0.7,0.009,10927897.9177426,62.5685727894688,174654.741678588
"1407",0.5,0.177777777777778,0.69,0.6,0.075,33.9170285481637,0.045,0.0018,0.029,0,0.45,0.39,0.23,0.3526,0.22,0.17,5.79,22.7,37.8,5.79,22.7,37.8,0.03,0.03,0,1100,522.81,1003.93,1132.35,0.95,0.7,0.008,8280322.99428781,342.075934787858,24206.0962266257
"1408",0.6,0.2,0.43,0.67,0.078,127.103693661422,0.04,0.0011,0.008,0,0.46,0.5,0.32,0.7408,0.73,0.04,5.79,17.7,28.3,5.79,17.7,28.3,0.06,0.03,0,1350,422.81,1153.93,1582.35,0.9,0.7,0.008,10164407.0783219,288.372126655249,35247.536564009
"1409",0.8,0.228571428571429,0.78,0.48,0.076,78.9438154338011,0.035,0.0013,0.055,0,0.38,0.26,0.25,0.4234,0.38,0.07,6.29,18.7,32.8,6.29,18.7,32.8,0.03,0.06,0,1900,422.81,803.93,1282.35,0.85,0.7,0.008,13179699.3909542,124.784485760016,105619.695514883
"1410",0,0.175,0.58,0.87,0.071,107.78821170046,0.04,0.0015,0.057,0,0.17,0.14,0.43,0.8174,0.78,0.17,6.29,21.2,41.3,6.29,21.2,41.3,0.03,0,0,2400,472.81,853.93,1932.35,0.8,0.8,0.007,19934350.2492065,560.540664025563,35562.7192254823
"1411",0.5,0.266666666666667,0.9,0.27,0.08,31.8105513309601,0.03,0.001,0.089,0,0.5,0.25,0.44,0.3488,0.26,0.12,6.79,17.7,27.3,6.79,17.7,27.3,0.03,0,0,1800,422.81,753.93,1932.35,0.75,0.75,0.008,14004139.4869679,118.686340967854,117992.848821254
"1412",0,0.155555555555556,0.54,0.41,0.07,47.3893005795187,0.045,0.0015,0.057,0,0.15,0.15,0.3,0.802,0.8,0.01,6.79,8.2,20.3,6.79,8.2,20.3,0.03,0.03,0,1100,372.81,853.93,1082.35,0.95,0.7,0.007,8481734.30932516,472.795888353744,17939.5263754476
"1413",0.3,0.18,0.41,0.54,0.073,39.876872250736,0.05,0.0014,0.076,0,0.39,0.34,0.14,0.9232,0.88,0.36,6.79,8.7,21.8,6.79,8.7,21.8,0.03,0.03,0,1750,472.81,653.93,2082.35,0.95,0.65,0.009,13349955.24032,524.705886123569,25442.7396249489
"1414",0.4,0.225,0.34,0.19,0.072,46.4562961650185,0.04,0.0017,0.058,0,0.14,0.49,0.34,0.78,0.6,0.45,6.29,15.2,32.3,6.29,15.2,32.3,0,0.03,0,2100,522.81,903.93,1032.35,0.95,0.75,0.009,16099658.8308291,125.249560129779,128540.641692851
"1415",0.1,0.225,0.24,0.4,0.072,48.1984832328067,0.04,0.0017,0.082,0,0.49,0.49,0.23,0.5904,0.36,0.36,6.29,8.2,37.3,6.29,8.2,37.3,0.03,0.03,0,550,522.81,953.93,1882.35,0.75,0.7,0.009,4163274.57684119,333.963324092768,12466.2628393431
"1416",0.7,0.2,0.41,0.39,0.077,48.9089108331146,0.05,0.0015,0.071,0,0.36,0.15,0.32,0.8691,0.83,0.23,6.29,12.2,30.3,6.29,12.2,30.3,0.06,0.06,0,2300,522.81,1253.93,1182.35,0.8,0.7,0.01,16133936.3856775,129.703875587655,124390.549723968
"1417",0.3,0.177777777777778,0.65,0.04,0.073,51.19981363223,0.045,0.0019,0.057,0,0.11,0.39,0.47,0.7227,0.53,0.41,6.79,24.2,35.3,6.79,24.2,35.3,0,0.03,0,1950,672.81,1103.93,1082.35,0.75,0.85,0.008,14853213.5311039,19.9388785809529,744937.257669688
"1418",0.3,0.2,0.66,0.66,0.074,73.0997065292113,0.045,0.0015,0.052,0,0.32,0.14,0.19,0.7063,0.67,0.11,5.79,21.7,21.3,5.79,21.7,21.3,0.06,0.03,0,1600,422.81,653.93,2032.35,1,0.7,0.009,12166152.3667472,526.57331377756,23104.3846097498
"1419",0.5,0.257142857142857,0.53,0.01,0.078,101.022938057368,0.035,0.0015,0.063,0,0.15,0.48,0.39,0.482,0.26,0.3,6.29,22.7,19.3,6.29,22.7,19.3,0.03,0.06,0,2150,422.81,853.93,2132.35,0.9,0.8,0.009,15109874.4965998,10.7581712256192,1404502.13885959
"1420",0.4,0.177777777777778,0.69,0.68,0.076,65.1484383218073,0.045,0.0019,0.005,0,0.33,0.37,0.42,0.8367,0.77,0.29,6.29,13.2,33.3,6.29,13.2,33.3,0.03,0.06,0,950,472.81,903.93,1232.35,0.75,0.75,0.008,6612674.85603506,323.019238749242,20471.4582377196
"1421",0.5,0.18,0.45,0.71,0.075,34.6662639919571,0.05,0.0013,0.01,0,0.34,0.26,0.22,0.6032,0.36,0.38,5.79,24.7,35.8,5.79,24.7,35.8,0.03,0,0,650,672.81,853.93,1982.35,0.9,0.65,0.009,5233895.44856919,456.048829943086,11476.6119435552
"1422",0.5,0.2,0.48,0.46,0.072,49.9998305078793,0.04,0.0013,0.055,0,0.32,0.17,0.13,0.7506,0.71,0.14,5.79,19.7,38.3,5.79,19.7,38.3,0.03,0.03,0,2250,622.81,1203.93,1382.35,0.9,0.8,0.008,17218074.0353484,184.160457286479,93494.9570013507
"1423",0.2,0.2,0.53,0.01,0.073,40.7700985984017,0.045,0.0014,0.041,0,0.3,0.35,0.13,0.7424,0.72,0.08,5.79,13.7,26.3,5.79,13.7,26.3,0,0,0,1400,522.81,1003.93,1132.35,0.9,0.7,0.009,11488502.4268716,25.6505542090654,447885.154185531
"1424",0.3,0.225,0.52,0.43,0.073,34.1811275605615,0.04,0.0018,0.028,0,0.48,0.26,0.46,0.7195,0.45,0.49,6.79,19.2,25.3,6.79,19.2,25.3,0.03,0.03,0,1850,572.81,853.93,1532.35,0.9,0.75,0.009,14072745.1774736,292.889553155012,48047.9587813281
"1425",0.7,0.3,0.46,0.4,0.07,64.9539243277389,0.03,0.0011,0.021,0,0.1,0.37,0.36,0.8727,0.81,0.33,6.29,13.2,36.8,6.29,13.2,36.8,0.06,0.03,0,2450,522.81,603.93,2032.35,0.95,0.7,0.009,18846449.5191621,136.513312620092,138055.762895525
"1426",0.2,0.3,0.25,0.02,0.074,74.6451346955527,0.03,0.0017,0.043,0,0.22,0.36,0.47,0.5488,0.52,0.06,6.29,12.7,36.8,6.29,12.7,36.8,0,0.06,0,2100,622.81,903.93,2132.35,0.95,0.65,0.009,14889202.2214011,30.3767330510536,490151.531317638
"1427",0,0.2,0.37,0.16,0.079,81.8310375198772,0.045,0.0011,0.086,0,0.24,0.49,0.45,0.9131,0.89,0.21,6.29,10.2,32.8,6.29,10.2,32.8,0,0,0,600,522.81,953.93,1032.35,0.95,0.7,0.009,4792588.91406147,204.682410136716,23414.7570905595
"1428",0.5,0.228571428571429,0.61,0.5,0.074,56.3636026749678,0.035,0.0019,0.062,0,0.12,0.3,0.22,0.6474,0.57,0.18,5.79,9.2,30.3,5.79,9.2,30.3,0.03,0,0,1700,372.81,1053.93,1432.35,0.8,0.75,0.008,13971413.1829828,204.456643445428,68334.3566026601
