"","buget","prob"
"1",0,0.13342
"2",1000,0.14171
"3",2000,0.14957
"4",3000,0.15796
"5",4000,0.16727
"6",5000,0.176
"7",6000,0.18542
"8",7000,0.19433
"9",8000,0.20359
"10",9000,0.21337
"11",10000,0.22292
"12",11000,0.23313
"13",12000,0.24299
"14",13000,0.25304
"15",14000,0.26264
"16",15000,0.27241
"17",16000,0.28271
"18",17000,0.29208
"19",18000,0.30158
"20",19000,0.31094
"21",20000,0.32057
"22",21000,0.32998
"23",22000,0.33917
"24",23000,0.34849
"25",24000,0.35739
"26",25000,0.36635
"27",26000,0.37485
"28",27000,0.38357
"29",28000,0.39184
"30",29000,0.39977
"31",30000,0.4077
"32",31000,0.41545
"33",32000,0.42309
"34",33000,0.43102
"35",34000,0.43811
"36",35000,0.44563
"37",36000,0.45251
"38",37000,0.45938
"39",38000,0.46607
"40",39000,0.47303
"41",40000,0.47987
"42",41000,0.48658
"43",42000,0.49301
"44",43000,0.49917
"45",44000,0.50567
"46",45000,0.51159
"47",46000,0.5176
"48",47000,0.52343
"49",48000,0.52899
"50",49000,0.53519
"51",50000,0.5407
"52",51000,0.54646
"53",52000,0.55219
"54",53000,0.5571
"55",54000,0.56256
"56",55000,0.56797
"57",56000,0.57328
"58",57000,0.57804
"59",58000,0.58281
"60",59000,0.58755
"61",60000,0.59214
"62",61000,0.59702
"63",62000,0.60153
"64",63000,0.60647
"65",64000,0.61067
"66",65000,0.61555
"67",66000,0.61951
"68",67000,0.62375
"69",68000,0.6275
"70",69000,0.63124
"71",70000,0.63507
"72",71000,0.63878
"73",72000,0.6428
"74",73000,0.64642
"75",74000,0.65013
"76",75000,0.65373
"77",76000,0.65734
"78",77000,0.66059
"79",78000,0.66425
"80",79000,0.66781
"81",80000,0.67097
"82",81000,0.6743
"83",82000,0.67762
"84",83000,0.68074
"85",84000,0.684
"86",85000,0.68699
"87",86000,0.69018
"88",87000,0.69308
"89",88000,0.69604
"90",89000,0.69896
"91",90000,0.70214
"92",91000,0.70509
"93",92000,0.7078
"94",93000,0.7109
"95",94000,0.71365
"96",95000,0.71593
"97",96000,0.71859
"98",97000,0.72119
"99",98000,0.72389
"100",99000,0.72634
"101",1e+05,0.72881
"102",101000,0.73136
"103",102000,0.73381
"104",103000,0.73636
"105",104000,0.73888
"106",105000,0.74122
"107",106000,0.74376
"108",107000,0.74624
"109",108000,0.74859
"110",109000,0.75055
"111",110000,0.75272
"112",111000,0.75523
"113",112000,0.75739
"114",113000,0.7593
"115",114000,0.76157
"116",115000,0.76361
"117",116000,0.76562
"118",117000,0.7678
"119",118000,0.76974
"120",119000,0.77162
"121",120000,0.77348
