"","buget","prob"
"1",0,0.13393
"2",1000,0.14207
"3",2000,0.15023
"4",3000,0.15854
"5",4000,0.16657
"6",5000,0.17509
"7",6000,0.18378
"8",7000,0.19308
"9",8000,0.20229
"10",9000,0.21158
"11",10000,0.22106
"12",11000,0.23033
"13",12000,0.23963
"14",13000,0.24934
"15",14000,0.25849
"16",15000,0.26821
"17",16000,0.27751
"18",17000,0.28706
"19",18000,0.29598
"20",19000,0.30473
"21",20000,0.31349
"22",21000,0.32219
"23",22000,0.33109
"24",23000,0.34014
"25",24000,0.34867
"26",25000,0.35657
"27",26000,0.36482
"28",27000,0.37323
"29",28000,0.381
"30",29000,0.38867
"31",30000,0.39576
"32",31000,0.40347
"33",32000,0.41111
"34",33000,0.41831
"35",34000,0.42558
"36",35000,0.43219
"37",36000,0.43863
"38",37000,0.44562
"39",38000,0.45193
"40",39000,0.4579
"41",40000,0.46426
"42",41000,0.47033
"43",42000,0.47622
"44",43000,0.48254
"45",44000,0.4884
"46",45000,0.49396
"47",46000,0.49921
"48",47000,0.50451
"49",48000,0.50995
"50",49000,0.51499
"51",50000,0.52042
"52",51000,0.52575
"53",52000,0.53064
"54",53000,0.53579
"55",54000,0.54055
"56",55000,0.54502
"57",56000,0.55013
"58",57000,0.55499
"59",58000,0.55919
"60",59000,0.56351
"61",60000,0.56809
"62",61000,0.5724
"63",62000,0.57652
"64",63000,0.58092
"65",64000,0.58519
"66",65000,0.58909
"67",66000,0.59293
"68",67000,0.59649
"69",68000,0.6003
"70",69000,0.60395
"71",70000,0.60762
"72",71000,0.61083
"73",72000,0.61464
"74",73000,0.618
"75",74000,0.62142
"76",75000,0.62483
"77",76000,0.62841
"78",77000,0.63146
"79",78000,0.63501
"80",79000,0.63782
"81",80000,0.64098
"82",81000,0.64406
"83",82000,0.64713
"84",83000,0.64993
"85",84000,0.65297
"86",85000,0.65575
"87",86000,0.65893
"88",87000,0.66157
"89",88000,0.66463
"90",89000,0.66741
"91",90000,0.67018
"92",91000,0.67316
"93",92000,0.67583
"94",93000,0.67835
"95",94000,0.68088
"96",95000,0.6832
"97",96000,0.68549
"98",97000,0.68786
"99",98000,0.69026
"100",99000,0.69273
"101",1e+05,0.69508
"102",101000,0.69737
"103",102000,0.69944
"104",103000,0.70192
"105",104000,0.70404
"106",105000,0.70621
"107",106000,0.70855
"108",107000,0.71079
"109",108000,0.71318
"110",109000,0.71559
"111",110000,0.71794
"112",111000,0.72012
"113",112000,0.72203
"114",113000,0.72398
"115",114000,0.72594
"116",115000,0.72788
"117",116000,0.72961
"118",117000,0.73129
"119",118000,0.73345
"120",119000,0.73545
"121",120000,0.7372
