"","buget","prob"
"1",0,0.13321
"2",1000,0.14159
"3",2000,0.14992
"4",3000,0.15821
"5",4000,0.16719
"6",5000,0.17645
"7",6000,0.18571
"8",7000,0.19515
"9",8000,0.20495
"10",9000,0.21499
"11",10000,0.22449
"12",11000,0.23428
"13",12000,0.24448
"14",13000,0.25431
"15",14000,0.26453
"16",15000,0.2738
"17",16000,0.2829
"18",17000,0.29227
"19",18000,0.30178
"20",19000,0.311
"21",20000,0.31978
"22",21000,0.32897
"23",22000,0.33773
"24",23000,0.34654
"25",24000,0.35535
"26",25000,0.36413
"27",26000,0.37287
"28",27000,0.38127
"29",28000,0.38914
"30",29000,0.39713
"31",30000,0.40498
"32",31000,0.41319
"33",32000,0.42109
"34",33000,0.42874
"35",34000,0.43643
"36",35000,0.44337
"37",36000,0.45054
"38",37000,0.4573
"39",38000,0.46349
"40",39000,0.47001
"41",40000,0.47707
"42",41000,0.48352
"43",42000,0.4897
"44",43000,0.49604
"45",44000,0.50206
"46",45000,0.50838
"47",46000,0.51382
"48",47000,0.51958
"49",48000,0.52565
"50",49000,0.53069
"51",50000,0.53645
"52",51000,0.54191
"53",52000,0.54702
"54",53000,0.55225
"55",54000,0.55761
"56",55000,0.56264
"57",56000,0.56754
"58",57000,0.57268
"59",58000,0.57744
"60",59000,0.58235
"61",60000,0.58679
"62",61000,0.59135
"63",62000,0.59586
"64",63000,0.60008
"65",64000,0.60474
"66",65000,0.60906
"67",66000,0.61331
"68",67000,0.61739
"69",68000,0.62146
"70",69000,0.62554
"71",70000,0.62952
"72",71000,0.63316
"73",72000,0.63702
"74",73000,0.64093
"75",74000,0.64453
"76",75000,0.64812
"77",76000,0.652
"78",77000,0.65555
"79",78000,0.6591
"80",79000,0.66246
"81",80000,0.66582
"82",81000,0.66902
"83",82000,0.67196
"84",83000,0.67516
"85",84000,0.6784
"86",85000,0.68153
"87",86000,0.68438
"88",87000,0.68743
"89",88000,0.69029
"90",89000,0.69294
"91",90000,0.69598
"92",91000,0.69892
"93",92000,0.70196
"94",93000,0.7048
"95",94000,0.70775
"96",95000,0.71039
"97",96000,0.71297
"98",97000,0.71536
"99",98000,0.71803
"100",99000,0.72061
"101",1e+05,0.72355
"102",101000,0.72647
"103",102000,0.72862
"104",103000,0.73121
"105",104000,0.73367
"106",105000,0.73633
"107",106000,0.73883
"108",107000,0.74116
"109",108000,0.74342
"110",109000,0.74576
"111",110000,0.74792
"112",111000,0.74999
"113",112000,0.75211
"114",113000,0.75395
"115",114000,0.75616
"116",115000,0.75804
"117",116000,0.76009
"118",117000,0.7619
"119",118000,0.76394
"120",119000,0.76602
"121",120000,0.768
