"","buget","prob"
"1",0,0.13269
"2",1000,0.14127
"3",2000,0.14936
"4",3000,0.15782
"5",4000,0.16674
"6",5000,0.17674
"7",6000,0.18666
"8",7000,0.19601
"9",8000,0.20598
"10",9000,0.21616
"11",10000,0.22683
"12",11000,0.2379
"13",12000,0.24818
"14",13000,0.25893
"15",14000,0.26976
"16",15000,0.28044
"17",16000,0.29085
"18",17000,0.30118
"19",18000,0.31164
"20",19000,0.32148
"21",20000,0.33171
"22",21000,0.3417
"23",22000,0.35107
"24",23000,0.36118
"25",24000,0.37121
"26",25000,0.38098
"27",26000,0.39064
"28",27000,0.40013
"29",28000,0.40918
"30",29000,0.41831
"31",30000,0.42695
"32",31000,0.43555
"33",32000,0.44405
"34",33000,0.45255
"35",34000,0.4603
"36",35000,0.46787
"37",36000,0.47588
"38",37000,0.4829
"39",38000,0.49053
"40",39000,0.49756
"41",40000,0.50507
"42",41000,0.5116
"43",42000,0.51858
"44",43000,0.52468
"45",44000,0.5314
"46",45000,0.53767
"47",46000,0.54373
"48",47000,0.55015
"49",48000,0.55612
"50",49000,0.56223
"51",50000,0.56821
"52",51000,0.57416
"53",52000,0.57981
"54",53000,0.58529
"55",54000,0.59111
"56",55000,0.59668
"57",56000,0.60225
"58",57000,0.60744
"59",58000,0.61257
"60",59000,0.61723
"61",60000,0.62219
"62",61000,0.627
"63",62000,0.63132
"64",63000,0.63616
"65",64000,0.64084
"66",65000,0.64534
"67",66000,0.64962
"68",67000,0.65415
"69",68000,0.65837
"70",69000,0.66254
"71",70000,0.6665
"72",71000,0.67049
"73",72000,0.67456
"74",73000,0.67831
"75",74000,0.68255
"76",75000,0.6861
"77",76000,0.68976
"78",77000,0.69328
"79",78000,0.69663
"80",79000,0.69991
"81",80000,0.70335
"82",81000,0.70668
"83",82000,0.71035
"84",83000,0.71374
"85",84000,0.71664
"86",85000,0.71985
"87",86000,0.72296
"88",87000,0.72601
"89",88000,0.72934
"90",89000,0.73238
"91",90000,0.73516
"92",91000,0.73802
"93",92000,0.74092
"94",93000,0.74399
"95",94000,0.74705
"96",95000,0.74989
"97",96000,0.75287
"98",97000,0.75552
"99",98000,0.75792
"100",99000,0.76037
"101",1e+05,0.76272
"102",101000,0.76515
"103",102000,0.76755
"104",103000,0.77
"105",104000,0.77247
"106",105000,0.77519
"107",106000,0.77753
"108",107000,0.77963
"109",108000,0.78222
"110",109000,0.78448
"111",110000,0.78659
"112",111000,0.78881
"113",112000,0.7907
"114",113000,0.79273
"115",114000,0.7948
"116",115000,0.79689
"117",116000,0.7988
"118",117000,0.80084
"119",118000,0.80288
"120",119000,0.80481
"121",120000,0.807
