"","buget","prob"
"1",0,0.13544
"2",1000,0.14324
"3",2000,0.15123
"4",3000,0.15997
"5",4000,0.16892
"6",5000,0.17795
"7",6000,0.18644
"8",7000,0.19569
"9",8000,0.20487
"10",9000,0.21426
"11",10000,0.22381
"12",11000,0.23313
"13",12000,0.24245
"14",13000,0.25144
"15",14000,0.26043
"16",15000,0.26929
"17",16000,0.27824
"18",17000,0.28789
"19",18000,0.29645
"20",19000,0.30539
"21",20000,0.31431
"22",21000,0.32241
"23",22000,0.33096
"24",23000,0.33928
"25",24000,0.34803
"26",25000,0.35654
"27",26000,0.36477
"28",27000,0.37269
"29",28000,0.38113
"30",29000,0.38866
"31",30000,0.39662
"32",31000,0.40354
"33",32000,0.41083
"34",33000,0.4174
"35",34000,0.42352
"36",35000,0.43067
"37",36000,0.437
"38",37000,0.44326
"39",38000,0.44975
"40",39000,0.456
"41",40000,0.46204
"42",41000,0.4683
"43",42000,0.47427
"44",43000,0.48031
"45",44000,0.48574
"46",45000,0.49115
"47",46000,0.49667
"48",47000,0.50159
"49",48000,0.50671
"50",49000,0.51192
"51",50000,0.51702
"52",51000,0.52239
"53",52000,0.52752
"54",53000,0.53189
"55",54000,0.53659
"56",55000,0.54101
"57",56000,0.5458
"58",57000,0.55009
"59",58000,0.55442
"60",59000,0.55918
"61",60000,0.5635
"62",61000,0.56779
"63",62000,0.57207
"64",63000,0.57607
"65",64000,0.58032
"66",65000,0.584
"67",66000,0.58798
"68",67000,0.59147
"69",68000,0.59523
"70",69000,0.59869
"71",70000,0.60239
"72",71000,0.6059
"73",72000,0.60948
"74",73000,0.61297
"75",74000,0.61667
"76",75000,0.6201
"77",76000,0.62339
"78",77000,0.62683
"79",78000,0.62993
"80",79000,0.63341
"81",80000,0.63644
"82",81000,0.63923
"83",82000,0.64241
"84",83000,0.64507
"85",84000,0.64838
"86",85000,0.65108
"87",86000,0.65378
"88",87000,0.65653
"89",88000,0.65961
"90",89000,0.66255
"91",90000,0.66554
"92",91000,0.66814
"93",92000,0.6706
"94",93000,0.67302
"95",94000,0.67539
"96",95000,0.67788
"97",96000,0.68057
"98",97000,0.6833
"99",98000,0.68587
"100",99000,0.68831
"101",1e+05,0.69064
"102",101000,0.69301
"103",102000,0.69527
"104",103000,0.69748
"105",104000,0.69977
"106",105000,0.70212
"107",106000,0.70428
"108",107000,0.70622
"109",108000,0.70825
"110",109000,0.71047
"111",110000,0.71254
"112",111000,0.71492
"113",112000,0.71675
"114",113000,0.71879
"115",114000,0.72066
"116",115000,0.72289
"117",116000,0.72492
"118",117000,0.72693
"119",118000,0.72877
"120",119000,0.73065
"121",120000,0.73251
