"","buget","prob"
"1",0,0.13917
"2",1000,0.14821
"3",2000,0.15761
"4",3000,0.16746
"5",4000,0.17761
"6",5000,0.18823
"7",6000,0.19844
"8",7000,0.20955
"9",8000,0.22044
"10",9000,0.23229
"11",10000,0.24311
"12",11000,0.25395
"13",12000,0.2653
"14",13000,0.2764
"15",14000,0.28798
"16",15000,0.29899
"17",16000,0.30999
"18",17000,0.32138
"19",18000,0.33215
"20",19000,0.34298
"21",20000,0.35344
"22",21000,0.3643
"23",22000,0.37448
"24",23000,0.38439
"25",24000,0.39487
"26",25000,0.40495
"27",26000,0.41481
"28",27000,0.42454
"29",28000,0.43406
"30",29000,0.44314
"31",30000,0.45163
"32",31000,0.46045
"33",32000,0.46945
"34",33000,0.47816
"35",34000,0.48669
"36",35000,0.49516
"37",36000,0.50372
"38",37000,0.51225
"39",38000,0.52004
"40",39000,0.52751
"41",40000,0.53515
"42",41000,0.54225
"43",42000,0.54918
"44",43000,0.55623
"45",44000,0.56326
"46",45000,0.57048
"47",46000,0.57708
"48",47000,0.5836
"49",48000,0.59003
"50",49000,0.59625
"51",50000,0.60223
"52",51000,0.60874
"53",52000,0.6147
"54",53000,0.62072
"55",54000,0.6264
"56",55000,0.63171
"57",56000,0.63733
"58",57000,0.64242
"59",58000,0.64736
"60",59000,0.65241
"61",60000,0.65765
"62",61000,0.66267
"63",62000,0.66711
"64",63000,0.67163
"65",64000,0.6764
"66",65000,0.68108
"67",66000,0.68551
"68",67000,0.68975
"69",68000,0.69388
"70",69000,0.69849
"71",70000,0.70292
"72",71000,0.70663
"73",72000,0.7111
"74",73000,0.71508
"75",74000,0.71877
"76",75000,0.72274
"77",76000,0.72646
"78",77000,0.73031
"79",78000,0.73351
"80",79000,0.73717
"81",80000,0.74075
"82",81000,0.74406
"83",82000,0.7474
"84",83000,0.75086
"85",84000,0.75384
"86",85000,0.75687
"87",86000,0.75983
"88",87000,0.76242
"89",88000,0.76557
"90",89000,0.76843
"91",90000,0.77116
"92",91000,0.77406
"93",92000,0.77701
"94",93000,0.77981
"95",94000,0.78266
"96",95000,0.78513
"97",96000,0.78788
"98",97000,0.79037
"99",98000,0.7929
"100",99000,0.79542
"101",1e+05,0.7978
"102",101000,0.80031
"103",102000,0.80277
"104",103000,0.80513
"105",104000,0.80759
"106",105000,0.80983
"107",106000,0.81206
"108",107000,0.81419
"109",108000,0.81633
"110",109000,0.81844
"111",110000,0.82058
"112",111000,0.82263
"113",112000,0.82474
"114",113000,0.827
"115",114000,0.82918
"116",115000,0.83118
"117",116000,0.83309
"118",117000,0.835
"119",118000,0.83703
"120",119000,0.83897
"121",120000,0.84065
