"","eta","lambda_obs","sigma0","rho","mu","nuC","pH","pU","pV","deltaC","deltaH","deltaU","deltaV","thetaH","epsilonC","epsilonH","LMH","LMU","LMV","LNH","LNU","LNV","ky","kc","cs","cd","cH","cU","cV","q0","qs","y_hobs","COST","LYG","ICER"
"1",0.8,0.571428571428571,0.19,0.75,0.109,58.6124304631939,0.07,0.073,0.076,0,0.24,0.39,0.43,0.7,0.4,0.5,6.29,17.7,27.8,6.29,17.7,27.8,0.03,0.03,0,2050,622.81,653.93,2132.35,0.85,0.8,0.04,6888287.33645745,57.7842434864508,119207.017706697
"2",0.1,2.45,0.82,0.8,0.077,112.71537756504,0.02,0.006,0.009,0,0.31,0.49,0.5,0.7377,0.57,0.39,6.29,10.2,35.3,6.29,10.2,35.3,0.06,0,0,1150,522.81,653.93,1532.35,0.85,0.8,0.049,4131311.24604989,224.668916778736,18388.4415578439
"3",1,0.15,0.46,0.14,0.135,33.4586908330059,0.06,0.088,0.067,0,0.49,0.41,0.26,0.269,0.14,0.15,5.79,14.2,39.8,5.79,14.2,39.8,0.06,0.06,0,2350,522.81,1203.93,1882.35,0.95,0.7,0.009,7741306.91701084,3.18731376400592,2428787.21399594
"4",0,0.52,0.43,0.53,0.038,44.7703827527192,0.05,0.015,0.003,0,0.43,0.11,0.42,0.1288,0.12,0.01,6.29,11.2,25.3,6.29,11.2,25.3,0,0,0,750,522.81,1003.93,1382.35,0.95,0.75,0.026,2888474.36074993,248.041521648058,11645.1243386917
"5",0.6,0.566666666666667,0.03,0.75,0.181,104.894690616342,0.03,0.089,0.02,0,0.15,0.16,0.45,0.898,0.83,0.4,6.29,11.7,36.3,6.29,11.7,36.3,0.06,0.06,0,750,372.81,653.93,1832.35,0.95,0.8,0.017,2324847.59685643,97.918605654417,23742.6542312243
"6",0.9,0.333333333333333,0.69,0.73,0.185,59.3602910510225,0.09,0.066,0.003,0,0.13,0.28,0.24,0.706,0.65,0.16,6.79,10.2,37.3,6.79,10.2,37.3,0,0,0,1750,522.81,1153.93,1082.35,0.85,0.75,0.03,5449592.21913737,38.3534237725439,142088.806763546
"7",0.6,0.571428571428571,0.03,0.41,0.167,31.3365025212095,0.07,0.059,0.055,0,0.46,0.1,0.38,0.5974,0.39,0.34,6.79,10.2,35.8,6.79,10.2,35.8,0.03,0.03,0,550,422.81,1253.93,1432.35,0.8,0.65,0.04,1679345.20741073,90.3667918751855,18583.6541561665
"8",0.1,0.33,0.73,0.75,0.101,31.3921073974244,0.1,0.066,0.024,0,0.13,0.1,0.4,0.4525,0.27,0.25,6.29,11.7,20.8,6.29,11.7,20.8,0,0.03,0,750,572.81,703.93,1282.35,0.9,0.7,0.033,2718903.2886819,342.307995303087,7942.85650930975
"9",0.6,0.5,0.07,0.36,0.157,49.3407912679655,0.02,0.052,0.089,0,0.15,0.5,0.45,0.5212,0.24,0.37,5.79,16.2,37.3,5.79,16.2,37.3,0.03,0.06,0,1600,672.81,753.93,1382.35,0.8,0.75,0.01,5176575.35661053,51.4544845618495,100604.940476824
"10",0.1,0.6,0.25,0.89,0.193,76.7787833727185,0.03,0.04,0.053,0,0.5,0.3,0.18,0.4555,0.45,0.01,6.29,22.7,25.8,6.29,22.7,25.8,0.06,0.03,0,1400,672.81,1153.93,1532.35,0.8,0.8,0.018,4477551.53568633,212.616027937294,21059.332069767
"11",0.7,0.6,0.41,0.49,0.127,142.620201761394,0.08,0.006,0.036,0,0.11,0.28,0.34,0.4014,0.18,0.27,6.79,22.2,19.8,6.79,22.2,19.8,0,0.06,0,2300,572.81,1103.93,1282.35,0.95,0.75,0.048,7499820.67417247,68.7362873794673,109110.063404629
"12",0.6,0.775,0.87,0.06,0.163,66.6419533995235,0.04,0.015,0.033,0,0.38,0.1,0.41,0.5495,0.15,0.47,6.29,10.7,30.8,6.29,10.7,30.8,0.06,0.03,0,1050,372.81,803.93,1832.35,0.8,0.8,0.031,3128494.60880406,37.7129910328463,82955.3563142018
"13",0.2,0.08,0.17,0.72,0.063,96.5264605222873,0.1,0.066,0.064,0,0.36,0.36,0.49,0.7261,0.67,0.17,6.79,19.2,40.3,6.79,19.2,40.3,0.06,0.03,0,1100,472.81,853.93,1682.35,1,0.7,0.008,3969795.01570496,323.666429493684,12265.0811266246
"14",0.7,1,0.49,0.49,0.158,69.5926111451411,0.04,0.005,0.027,0,0.16,0.26,0.39,0.4985,0.41,0.15,6.29,22.7,37.8,6.29,22.7,37.8,0,0.03,0,650,372.81,1103.93,1782.35,0.85,0.75,0.04,2047187.0580887,62.1133825837833,32958.8725155532
"15",1,0.36,0.83,0.06,0.054,62.5472439029239,0.05,0.01,0.027,0,0.22,0.45,0.12,0.235,0.15,0.1,5.79,8.2,23.3,5.79,8.2,23.3,0.03,0.03,0,650,472.81,903.93,2082.35,0.95,0.8,0.018,2238803.92055824,8.98315355849877,249222.492522145
"16",0.3,0.2,0.66,0.69,0.125,33.9504417402999,0.07,0.041,0.07,0,0.38,0.36,0.33,0.4618,0.31,0.22,6.29,9.7,31.8,6.29,9.7,31.8,0.03,0.06,0,1250,622.81,1053.93,1182.35,0.95,0.85,0.014,4145121.69332735,125.143889642201,33122.8452717801
"17",0.4,0.4625,0.52,0.7,0.132,89.1955231766696,0.08,0.019,0.082,0,0.38,0.15,0.14,0.8995,0.85,0.33,5.79,22.7,39.8,5.79,22.7,39.8,0.06,0.03,0,1850,572.81,1303.93,1582.35,0.9,0.75,0.037,6032459.02622389,184.778394392258,32646.9934218491
