"","eta","lambda_obs","sigma0","rho","mu","nuC","pH","pU","pV","deltaC","deltaH","deltaU","deltaV","thetaH","epsilonC","epsilonH","LMH","LMU","LMV","LNH","LNU","LNV","ky","kc","cs","cd","cH","cU","cV","q0","qs","y_hobs","COST","LYG","ICER"
"2337",0.9,0.525,0.5,0.11,0.084,49.3407912679655,0.08,0.098,0.056,0,0.44,0.16,0.23,0.93,0.75,0.72,6.79,11.2,33.3,6.79,11.2,33.3,0.06,0,120,1700,422.81,1053.93,1982.35,1,0.75,0.042,20740361.3444696,548.850566123194,37788.7217844543
"2338",0.8,0.375,0.31,0.02,0.073,85.1118962837143,0.08,0.023,0.085,0,0.39,0.32,0.46,0.8873,0.51,0.77,6.29,16.2,37.3,6.29,16.2,37.3,0.03,0,70,1850,622.81,1253.93,1182.35,1,0.75,0.03,24876940.6618872,332.947313598398,74717.3490995451
"2339",0.7,0.35,0.12,0.77,0.161,73.0304317417975,0.08,0.005,0.023,0,0.36,0.13,0.27,0.9034,0.58,0.77,6.79,11.2,30.3,6.79,11.2,30.3,0,0.03,190,1300,522.81,903.93,982.35,0.85,0.7,0.028,1071502.3623792,431.147245505214,2485.23531937129
"2340",0.4,0.2375,0.9,0.53,0.042,89.2766592936375,0.08,0.059,0.031,0,0.36,0.26,0.46,0.9362,0.71,0.78,6.29,21.7,22.8,6.29,21.7,22.8,0.03,0,120,1750,672.81,1103.93,1232.35,0.95,0.65,0.019,12469115.3759793,1332.36997589951,9358.59828840797
"2341",0.6,0.375,0.73,0.59,0.164,49.8158757631243,0.04,0.099,0.089,0,0.18,0.21,0.4,0.7321,0.43,0.53,6.29,13.7,26.3,6.29,13.7,26.3,0,0.06,120,1850,472.81,953.93,1882.35,0.85,0.8,0.015,8028968.00546264,263.267456296066,30497.3813262867
"2342",0.5,0.4375,0.58,0.87,0.04,79.6617910668117,0.08,0.065,0.022,0,0.12,0.44,0.14,0.6555,0.47,0.35,5.79,20.7,31.3,5.79,20.7,31.3,0,0.03,20,2350,572.81,1103.93,1482.35,0.9,0.8,0.035,28606039.2159995,772.012974724435,37053.8321926652
"2343",0.3,0.375,0.76,0.45,0.117,51.7725613651914,0.04,0.008,0.094,0,0.42,0.24,0.45,0.9112,0.76,0.63,6.79,9.7,36.8,6.79,9.7,36.8,0,0,90,2250,522.81,803.93,1482.35,0.95,0.65,0.015,17441182.6533663,792.02765404809,22020.9263707191
"2344",0.4,0.2375,0.78,0.03,0.043,43.898703131633,0.08,0.094,0.041,0,0.2,0.15,0.49,0.7855,0.35,0.67,6.29,13.7,35.8,6.29,13.7,35.8,0.06,0,50,2350,522.81,1203.93,1182.35,0.9,0.7,0.019,36286773.1070271,157.763264058101,230007.748151455
"2345",0.5,1.5,0.58,0.23,0.099,62.2789559813994,0.03,0.025,0.012,0,0.49,0.28,0.13,0.724,0.4,0.54,6.29,11.2,26.8,6.29,11.2,26.8,0,0.06,150,1950,422.81,1253.93,1482.35,0.9,0.75,0.045,14780330.8758199,608.569608119851,24287.0013201662
"2346",0.4,0.266666666666667,0.35,0.66,0.103,91.8485914249913,0.06,0.068,0.057,0,0.44,0.1,0.34,0.912,0.6,0.78,6.29,14.2,19.8,6.29,14.2,19.8,0,0,130,2300,522.81,953.93,1382.35,0.8,0.8,0.016,11705208.9280812,527.831679752288,22176.0257618006
"2347",0.2,0.544444444444444,0.69,0.03,0.11,52.0661317847362,0.09,0.038,0.004,0,0.18,0.34,0.42,0.718,0.4,0.53,6.29,22.2,27.8,6.29,22.2,27.8,0.06,0.03,110,1700,422.81,853.93,1482.35,0.85,0.8,0.049,16872333.2031045,127.773910284687,132048.34355865
"2348",0.2,0.2375,0.69,0.44,0.181,51.0748914893606,0.08,0.033,0.058,0,0.38,0.36,0.27,0.8632,0.76,0.43,6.29,8.2,22.3,6.29,8.2,22.3,0.06,0.06,150,1700,522.81,703.93,1782.35,0.9,0.65,0.019,2325218.5797929,479.893869482205,4845.27669066029
"2349",0.1,0.5375,0.13,0.1,0.156,142.620201761394,0.08,0.008,0.098,0,0.12,0.28,0.35,0.748,0.4,0.58,5.79,22.2,27.3,5.79,22.2,27.3,0.06,0.03,190,700,472.81,803.93,1882.35,0.95,0.8,0.043,2251686.38568544,110.725543900282,20335.7446382315
"2350",0.5,0.675,0.84,0.34,0.052,66.1572395676631,0.04,0.028,0.074,0,0.5,0.21,0.15,0.629,0.3,0.47,5.79,14.2,20.8,5.79,14.2,20.8,0,0.03,160,700,422.81,753.93,1382.35,0.8,0.75,0.027,1502178.18363435,747.341174364473,2010.03000391592
"2351",0,0.671428571428571,0.68,0.47,0.161,48.0780460145471,0.07,0.04,0.09,0,0.36,0.11,0.39,0.9088,0.76,0.62,6.79,19.2,29.3,6.79,19.2,29.3,0.03,0.03,100,2250,572.81,1303.93,1232.35,0.95,0.7,0.047,8735754.3891791,728.409315549859,11992.9196437922
"2352",0.8,0.25,0.41,0.43,0.079,74.9147739990827,0.04,0.087,0.069,0,0.37,0.25,0.38,0.8376,0.44,0.71,6.29,22.7,32.8,6.29,22.7,32.8,0.06,0.03,130,1750,472.81,1153.93,1832.35,0.85,0.7,0.01,17018542.6278648,193.895855573102,87771.5646761131
