"","eta","lambda_obs","sigma0","rho","mu","nuC","pH","pU","pV","deltaC","deltaH","deltaU","deltaV","thetaH","epsilonC","epsilonH","LMH","LMU","LMV","LNH","LNU","LNV","ky","kc","cs","cd","cH","cU","cV","q0","qs","y_hobs","COST","LYG","ICER"
"4854",0.4,0.36,0.88,0.83,0.022,95.8803627524323,0.05,0.026,0.028,0,0.12,0.48,0.32,0.408,0.26,0.2,6.29,18.7,32.3,6.29,18.7,32.3,0,0.06,0,1250,472.81,903.93,1582.35,0.8,0.7,0.018,9975507.50694311,554.060264544784,18004.3727105011
"4855",0.1,0.65,0.26,0.79,0.034,35.12786129834,0.06,0.065,0.065,0,0.28,0.19,0.42,0.7999,0.77,0.13,6.29,12.2,29.8,6.29,12.2,29.8,0,0,0,750,522.81,853.93,1432.35,0.95,0.8,0.039,6302891.14753118,699.670407211383,9008.37177415016
"4856",0.7,0.157142857142857,0.16,0.51,0.09,80.88170825622,0.07,0.079,0.042,0,0.49,0.23,0.4,0.4072,0.22,0.24,6.79,23.2,33.8,6.79,23.2,33.8,0.06,0,0,1500,572.81,653.93,1432.35,0.9,0.75,0.011,11743063.435317,136.662670928451,85927.3666725349
"4857",0.4,0.15,0.17,0.76,0.081,71.7481016883947,0.1,0.09,0.066,0,0.47,0.21,0.35,0.7744,0.76,0.06,6.29,11.7,37.8,6.29,11.7,37.8,0.03,0.06,0,950,522.81,1153.93,982.35,0.8,0.85,0.015,6462718.55321659,247.614211765077,26099.950027699
"4858",0,0.511111111111111,0.63,0.69,0.052,67.9288217222007,0.09,0.04,0.054,0,0.22,0.34,0.17,0.846,0.8,0.23,6.79,17.2,23.3,6.79,17.2,23.3,0.06,0.06,0,1850,372.81,1153.93,1882.35,0.85,0.7,0.046,13428141.3493963,713.730737768019,18814.015760886
"4859",0.9,0.671428571428571,0.22,0.73,0.049,28.0327196304088,0.07,0.021,0.029,0,0.17,0.45,0.41,0.9112,0.88,0.26,6.29,16.2,22.3,6.29,16.2,22.3,0.03,0,0,2450,622.81,803.93,1082.35,0.95,0.7,0.047,20606919.6190245,167.910451051259,122725.652215261
"4860",0.4,0.233333333333333,0.52,0.71,0.111,74.1356813926013,0.06,0.098,0.022,0,0.43,0.38,0.18,0.9056,0.84,0.41,5.79,15.7,23.8,5.79,15.7,23.8,0,0,0,1450,622.81,753.93,1682.35,0.8,0.7,0.014,10653278.2640003,441.530678777426,24128.0589912769
"4861",0.2,1.4,0.03,0.18,0.189,30.7212032340686,0.03,0.042,0.02,0,0.35,0.36,0.48,0.9118,0.86,0.37,6.79,16.2,19.3,6.79,16.2,19.3,0,0,0,1400,522.81,603.93,1182.35,0.85,0.75,0.042,8411947.35562316,159.543506851367,52725.1000158839
"4862",0.6,0.31,0.84,0.21,0.154,38.1885794365113,0.1,0.09,0.003,0,0.27,0.18,0.44,0.7084,0.64,0.19,5.79,15.2,23.8,5.79,15.2,23.8,0.06,0,0,1000,472.81,1203.93,982.35,0.8,0.85,0.031,5589579.37530895,128.5987563796,43465.2677263031
"4863",0,0.24,0.78,0.67,0.068,100.218132669235,0.05,0.023,0.066,0,0.16,0.49,0.35,0.3376,0.31,0.04,5.79,24.2,39.3,5.79,24.2,39.3,0.06,0,0,1350,422.81,703.93,1732.35,0.75,0.75,0.012,11391710.2530844,455.63246251399,25001.9724016803
